部族表

司馬遷作《史記》，敘四裔於篇末。秦、漢以降，各有其國。延續疆此界，道里雲邈。不能混一寰宇，周知種落，鄰國聘貢往來，焉能歷覽。或口傳意記，模寫梗概耳。

遼接五代，漢地遠近，載諸簡冊可考。西北沙漠之地，樹藝五穀，衣服車馬禮文，制度文為，士產品物，得其粗而失其精。部落之名，姓氏之號，得其音而未得其字。歷代踵訛，艱於考索。

遼氏與諸部相通，往來朝貢，及西遼所至之地，見於《紀》、《傳》亦豈少也哉。其事則書於《紀》，部族則列於《表》雲。

部族表
紀年	正月	二月	三月	四月	五月	六月	七月	八月	九月	十月	十一月	十二月
九年	鼻骨德奏軍籍。	　	　	　	　	　	　	烏古來貢。	　	　	　	　
穆宗應曆元年	　	　	　	　	　	　	　	　	　	　	　	鼻骨德來貢。
二年	　	　	　	　	　	　	　	　	敵烈部來貢。	　	　	　
三年	　	　	　	　	　	　	　	烏古、鼻骨德來貢。	　	敵烈部來貢。	　	　
五年	鼻骨德來貢。	　	　	　	　	　	　	　	　	　	　	　
六年	　	　	　	　	　	　	　	　	　	鼻骨德來貢。	　	　
七年	鼻骨德來貢。	　	　	　	　	　	　	　	　	　	　	　
十四年	　	　	　	　	　	　	　	　	黃室韋叛。	　	　	庫古只奏黃室韋掠馬牛，叛去。庫古只與黃室韋戰，敗之，降其眾。賜詔撫諭。烏古叛，掠居民財蓄。
十五年	烏古殺其酋長窣離底，降而復叛。	大黃室韋酋長寅底吉叛。五坊人四十戶叛入烏古。	小黃室韋叛去，雅里斯、楚思等擊之，為室韋所敗。遣使讓之。	庫古只奏室韋酋長寅底吉亡入敵烈。	敵烈來降。	烏古至河德濼，遣夷離菫畫里、夷離畢常恩以擊之。丁丑，烏古掠上京北榆林峪居民，遣林牙蕭幹討之。	　	　	　	常恩與烏古戰，大敗之。	　	　
十七年	夷離畢骨欲獻烏古之俘。	　	　	　	　	　	　	　	　	　	　	　
景宗保寧三年	　	　	　	　	　	　	　	　	　	鼻骨德來貢。	　	　
四年	　	　	　	　	　	　	鼻骨德來貢。	　	　	　	　	　
五年	　	　	　	　	　	　	　	　	鼻骨德部長曷魯撻覽來朝。	　	　	　
八年	　	　	　	　	　	　	　	　	鼻骨德來貢。	　	　	　
乾亨元年	　	　	　	敵烈來貢。	　	　	　	　	　	　	　	　
聖宗統和元年	　	　	　	　	　	　	　	　	　	速撒奏降敵烈部。速撒奏叛蕃來降。	　	　
二年	　	五國、隈烏古部節度使耶律隈窪以所轄諸部難制，請賜詔、給，仍便宜從事。從之。	劃離部人請今後詳穩只於當部選授，上以諸部官長惟在得人，詔不允。	耶律蒲寧、都監蕭勤德東征女直回，獻捷。	　	　	　	　	　	　	　	　
三年	　	　	上閱諸部籍，以涅剌、烏隈二部額少役重，故量免之。	　	　	　	　	乙室奧隗部黍過熟未穫，遣人以助收刈。	乙室姥隈部族副使進物。朮不姑諸部來至近地。	　	　	　
四年	　	　	　	頻不部節度使和盧睹、黃皮室詳穩解里等各上所獲兵甲。	　	姪里古部送輜重行宮。	　	　	　	　	　	　
五年	　	　	　	　	　	　	涅剌部節度使撒葛里有惠政，部民請留，從之。	　	　	　	　	　
六年	　	　	　	　	詔烏隈于厥部卻貢貂鼠、青鼠皮，止以馬牛入貢。	　	以西南面招討使韓德威討河湟路違命諸蕃。	　	　	　	　	　
九年	　	　	振濟室韋、烏古部。	　	　	　	　	　	鼻骨德來貢。	　	　	　
十二年	　	　	　	　	　	　	　	詔皇太妃領西北路烏古部兵。	　	　	　	　
十三年	　	　	　	　	　	　	　	　	　	鼻骨德來貢。	　	　
十五年	　	　	　	罷奚五部歲貢○鹿。	敵烈八部殺詳穩以叛，蕭撻○追擊，獲其部族之半。	　	　	　	　	罷奚王諸部貢物。	　	
十六年	　	　	鼻骨德酋長來貢。	　	　	　	　	　	　	　	　	　
十九年	　	　	　	　	　	　	　	達盧骨部來貢。	　	　	閏月，鼻骨德來貢。	　
二十一年	　	　	　	奧里等部來貢。	　	　	烏古來貢。	　	　	　	　	　
二十二年	　	　	罷蕃部賀千齡節及冬至、重五進貢。	　	　	　	蒲奴里、剖阿里等部來貢。	　	　	　	　	　
二十三年	　	　	　	　	　	　	烏古來貢。	　	　	鼻骨德來貢。	　	　
開泰元年	曷蘇館大王曷里喜來朝。	　	　	　	　	　	　	　	　	　	　	　
二年	烏古、敵烈叛，命右皮室詳穩延壽率兵討之。	　	　	　	　	　	烏古、敵烈皆復故地。	　	　	　	　	　
三年	鐵驪來貢。	　	　	烏古叛。	　	　	　	八部敵烈殺共詳穩稍瓦，皆叛，詔南府宰相耶律吾剌葛招撫之。釋所囚敵烈數人，令招諭其眾。壬子，耶律世良遣使獻敵烈之俘。	　	　	　	　
四年	耶律世良討敵烈得部。	　	　	耶律世良討叛命烏古，盡殺之。遣使賞軍前有功將校。	　	　	　	　	以旗鼓拽剌詳穩題裡姑為六部奚王。	　	　	　
五年	　	　	鼻骨德酋長撒保特、賽剌等來貢。	　	　	　	　	　	　	　	　	　
七年	　	　	命東北越里篤、部阿里、奧里米、蒲奴里、鐵驪等五部歲貢貂皮六萬五千，馬三百匹。烏古部節度使蕭普達討叛命敵烈，滅之。	　	　	　	　	　	蒲奴里部來貢。	　	　	　
八年	　	　	回跋部太師踏剌葛來貢。	　	曷蘇館惕隱阿不葛、宰相賽剌來貢。	　	回跋部太保麻門來貢。	　	曷蘇館惕隱阿不葛來貢。	　	　	　
太平元年	　	　	　	　	　	　	　	　	　	敵烈酋長頗白來貢馬、駝。	　	　
六年	　	　	　	蒲盧毛朵部內多有兀惹民戶，詔索之。	　	　	　	　	朮不姑諸部皆叛。	曷蘇館諸部長來朝。	　	曷蘇館部乞建旗鼓，許之。
七年	　	蒲盧毛朵部遣使來貢。	女直部、蒲盧毛朵部送來州收管。	　	　	　	　	　	　	　	查只底部民四百戶來附。	　
興宗重熙元年	　	　	　	　	　	　	　	　	　	　	五國酋長來貢。	　
三年	　	　	　	振濟耶迷只部。	　	　	　	　	　	　	　	　
十年	　	曷蘇館人戶沒入蒲盧毛朵部者，索還復業。	　	　	　	　	　	　	　	　	　	朮不姑酋長來貢。
十二年	　	　	　	置回跋部詳穩、都監。	以斡朵、蒲盧毛朵部二使來貢不時，釋其罪，遣之。	　	　	　	　	　	　	　
十三年	　	　	　	耶律歐里斯將兵攻蒲盧毛朵部。西南面招討都監羅漢奴、詳穩斡魯母等奏山西部族節度使屈烈以五部叛入西夏，仍乞南北府兵援送實威塞州人戶。詔選富者發之，餘令屯田於天德軍。	羅漢奴奏所發部兵與党項戰不利。	　	　	　	　	元昊率党項三部酋長來降。	　	　
十五年	　	蒲盧毛朵界曷懶河人戶來附。	　	蒲盧毛朵曷懶河一百八十戶來附。	　	　	女直部長遮母率眾來附。	　	　	　	　	　
十七年	　	振濟瑤穩、嘲穩部。	　	蒲盧毛朵部大王蒲輦進舡工。	　	長白山太師柴葛、回跋太師撒剌都來貢方物。	婆離八部夷離菫虎〈番去〉等內附。	伐蒲奴里酋陶得里。	　	　	　	　
十八年	耶律義先奏蒲奴里之捷。	耶律義先等執陶得里以獻。	烏古遣使送款。	　	五國酋長各率其部來附。回跋部長兀迭、臺札等來朝。五國節度使耶律仙童以降烏古叛人，授左監門衛上將軍。	　	　	　	　	　	　	　
十九年	　	　	　	蒲盧毛朵部惕隱信篤來貢。高麗來貢。	遠夷拔思母部遣使來貢。	回跋、曷蘇館、蒲盧毛朵部各遣使進馬。	　	　	　	　	　	　
二十一年	　	　	　	　	　	　	遣使詣五國及鼻骨德、烏古、敵烈四部捕海東青鶻。	　	　	　	　	　
道宗清寧二年	詔二女古部與世預宰相、節度使之選者，免皮室軍役。	　	　	　	　	　	　	　	　	　	　	　
三年	五國部長貢方物。	　	　	　	　	　	　	　	　	　	　	　
八年	　	　	　	　	吾獨婉惕隱屯禿葛等乞歲貢馬、駝，許之。	　	　	　	　	　	　	　
咸雍五年	　	　	　	　	　	　	　	　	　	　	五國剖阿里部叛命，左夷離畢蕭素颯討之。	五國酋長來降，仍獻方物。
六年	　	　	　	　	　	　	　	　	　	五國部長來朝。	　	　
九年	　	　	　	　	　	　	八石烈敵烈人殺其節度使以叛，上詔隈烏古部軍分兩道擊之。	　	　	　	　	　
大康元年	　	　	　	　	　	　	　	　	　	西北路叛命酋長遐搭、雛搭、雙古等來降。	　	　
四年	　	　	　	　	　	　	　	　	五國部長來貢。	　	　	　
七年	五國部長來貢。	　	　	　	　	　	　	　	　	　	　	　
八年	五國諸酋長貢方物。	　	　	　	　	　	　	　	　	　	　	　
九年	　	　	　	　	　	　	　	　	五國部長來貢。	　	　	　
大安元年	五國酋長來貢良馬。	　	　	　	　	　	　	　	　	　	　	　
三年	　	　	　	出絹賜隗烏古部貧民。	　	　	西北部渤海進牛。	　	　	　	　	　
四年	五國諸部長來貢。	　	　	　	　	　	　	　	　	詔諸部官長親鞫獄訟。	　	　
八年	　	　	　	　	　	　	　	　	　	阻卜酋長磨古斯殺金吾吐古斯以叛，遣奚六部吐里耶律郭三發諸蕃部兵討之。	　	　
九年	　	　	　	　	　	　	　	　	　	詔以戰馬三千給烏古部。烏古敵烈統軍使蕭朽哥奏討阻卜之捷。	　	　
十年	惕德酋長來貢。	　	　	烏古部節度使耶律陳家奴奏討茶札剌之捷。知北院樞密使事耶律斡特剌為都統，夷離畢耶律禿朵為副統，龍虎衛上將軍耶律胡呂為都監，討磨古斯，遣積慶宮使蕭糾里監戰。	西北路招討司奏敵烈部入寇，統軍司兵與戰不利，招討司兵擊破之。	和烈葛部來貢。惕德酋長來貢。	　	　	　	　	　	是歲，惕德酋長萌得斯領所部來降，詔復舊地。頗裡八部來寇，擊敗之。
壽隆元年	敵烈入寇，掠群牧馬，戍兵襲之，盡得所掠。	　	　	斡特剌奏耶睹刮之捷。	　	　	頗里八部酋長來附，且進方物。斡特剌奏磿古斯之捷。	　	　	　	　	　
二年[1]	市牛以給烏古、敵烈、隗烏古部貧民。	振撻麻里別古部。	　	　	　	　	　	頗里八部進馬。	　	　	　	　
三年	烏古部節度使耶律陳家奴討西北諸部有功。	　	　	　	　	　	　	蒲盧毛朵部長率其部民來歸。	五國部長來貢。	　	蒲盧毛朵部來貢。	　
五年	　	　	　	　	　	五國部長來貢。	惕德酋長禿的等來貢。	　	　	斡特剌奏討耶睹刮之捷。	　	　
六年	斡特剌獲叛命磨古斯來獻。	　	　	　	烏古部討茶札剌，破之。	　	耶睹刮諸部寇西北路。	斡特剌奏耶睹刮諸部之捷。	　	五國諸部長來貢。	　	　
天祚乾統二年	　	　	　	　	斡特剌獻耶睹刮等部之捷。	　	　	　	　	　	　	　
四年	　	鼻骨德遣使來貢。	　	　	　	　	　	　	　	　	　	　
九年	　	　	　	五國部來貢。	　	　	　	　	　	　	　	　
十年	　	　	　	五國部長來貢。	　	　	　	　	　	　	　	　
天慶元年	　	　	五國部長來貢。	　	　	　	　	　	　	　	　	　
二年	五國部長來貢。	　	　	　	　	　	　	　	　	　	　	　
五年	　	饒州渤海古欲等反，自稱大王，以蕭謝佛留等討之。	　	　	　	　	　	　	　	　	　	　
六年	　	　	　	　	　	　	　	烏古部叛，遣中丞耶律撻不也等招之。	　	烏古部降。	東面行軍副統馬哥、余睹等攻曷蘇館，敗績。	　
保大二年	　	　	　	金師取西京，沙漠以南部族皆降之，帝遁訛莎烈。	　	　	烏古部節度使耶律棠古破敵烈部叛命皮室，加太子太保。	　	都統馬哥討叛命敵烈部，克之。	　	　	聞金主撫定南京，遂由掃里關出，居四部族詳穩之家。
三年	　	　	　	　	軍將耶律敵烈等刧梁王雅里奔西北部。	　	　	　	耶律大石自金朝亡歸。復渡河東還，居突呂不部。	　	　	　
四年	上北遁，謨葛失來迎，率部人防衛。時侍從乏糧數日，以衣易羊。至烏古敵烈部，封謨葛失為神于越。	　	　	　	　	　	　	　	　	上納突呂不部人訛哥之妻諳葛，以訛葛為本部節度使。	　	　
天祚播越，耶律大石立燕晉國王淳；淳死，與蕭妃奔天德軍。上誅妃，責大石。大石率眾西去，自立為帝。所歷諸部，附見於後：

大黃室韋部	白達旦部	敵烈部	王紀剌部	茶赤剌部	也喜部	鼻骨德部
尼剌部	達剌乖部	達密里部	密兒紀部	合主部	烏古里部	阻卜部
普速完部	唐古部	忽母思部	奚的部	紀而畢部	乃蠻部	畏吾兒城
回回大食部	尋思干地	起而漫地				　 　 　 　



Chinese text: This work was published before January 1, 1923, and is in the
public domain worldwide because the author died at least 100 years ago.
