屬國表

周有天下，不期而會者八百餘國。遼居松漠，最為強盛。天命有歸，建國改元。號令法度，皆遵漢制。命將出師，臣服諸國。人民皆入版籍，貢賦悉輸內帑。東西朔南，何啻萬里。視古起百里國而致太平之業者，亦幾矣。故有遼之盛不可不著。作《屬國表》。

屬國表
紀年	正月	二月	三月	四月	五月	六月	七月	八月	九月	十月	十一月	十二月
三年	　	女直來朝貢。	　	　	　	　	　	阻卜來貢。阻卜及賃烈國來貢。阻卜來貢。	女直國來貢。	　	　	　
四年	　	鐵驪來貢。	　	魯不古伐党項回，獻俘。	　	　	　	　	　	　	吐谷渾降。阻卜來貢。女直國遣使來貢。	　
五年	　	　	　	鐵驪來貢。	　	素撒國人來貢。阻卜貢方物。	阻卜來貢。	　	　	党項逆命，伐之。	　	　
六年	　	　	　	　	　	鐵驪來貢。	　	　	　	　	鐵驪來貢。	　
七年	　	　	　	　	賃烈、要里等國來貢。	　	　	回鶻遣使請婚，不許。	　	　	　	　
八年	　	　	　	　	　	回鶻來貢。吐谷渾來貢。紝沒里、要里等國貢方物。	　	　	　	　	鐵驪來貢。	　
九年	回鶻、女直來貢。	　	吐渾進生口。	吐渾白可久來附。	女直來貢。	　	　	　	　	　	　	　
穆宗應曆元年	　	　	　	　	　	　	　	　	　	　	　	鐵驪來貢。
二年	女直來貢。	　	鐵驪貢鷹鶻。	　	　	　	　	　	　	回鶻及轄戛斯國來貢。	　	　
三年	　	　	鐵驪來貢。	　	　	　	　	吐蕃、吐谷渾來貢。	　	　	　	　
十二年	　	　	　	　	　	　	　	女直國貢鼻上有毛小兒。	　	　	　	　
十三年	　	　	　	　	斡朗改國進花鹿生麛，視之。	　	　	　	　	　	　	　
景宗保寧三年	　	漢遣使來告。	　	　	　	回鶻遣使來貢。	漢以宋人來攻，遣使來告。	　	　	吐谷渾來貢。	　	　
五年	伐党項，破之，上俘獲之數。	　	　	　	女直國侵邊。阿薩蘭回鶻來貢。	　	　	　	　	　	　	　
八年	　	　	　	　	　	　	　	女直國侵貴德州。	　	　	　	轄戛斯國遣使來貢。
九年	女直國遣使來貢。	　	　	　	女直國二十一人來請宰相、夷離菫之職，以次授之。	　	回鶻遣使來貢。	　	　	耶律沙以党項降酋可醜買友來，賜詔撫諭。女直國遣使來貢。	吐谷渾叛入太原四百餘戶，索而還之。	　
十年	　	阿薩蘭回鶻遣使來貢。	　	女直國遣使來貢。	　	　	　	　	　	　	　	　
乾亨元年	　	　	女直國宰相遣使來貢。	　	　	　	　	　	　	　	　	　
四年	　	　	　	　	　	　	　	　	　	　	　	討阻卜。
聖宗統和元年	党項十五部寇邊，西南面招討使韓德威破之。破阻卜。韓德威討党項諸部。	　	　	　	　	　	韓德威破党項，上俘獲之數。	　	　	　	　	　
二年	　	　	　	　	　	　	　	女直宰相海里等八族內附。	　	　	　	速撒等討阻卜，殺其酋長撻剌干。
三年	　	　	　	　	　	　	　	　	女直國宰相朮里補來朝。	　	　	　
四年	　	　	　	　	　	　	　	　	　	阻卜遣使來貢。	党項來貢。	　
六年	　	　	　	　	閏月，阿薩蘭回鶻來貢。	党項太保阿剌恍來朝。	　	瀕海女直宰相速魯里來朝。	　	　	　	　
七年	　	回鶻、于闐、師子等國來貢。党項遣使來貢。	阿思懶、于闐、轄烈三國來貢。吐蕃來貢。	　	　	　	　	　	　	　	于闐遣張文寶進內丹書。	　
八年	　	于闐、回鶻各遣使來貢。女直國遣使來貢。	　	女直國遣使來貢。	女直國宰相阿海來朝。	阿薩蘭回鶻于越、達剌干遣使來貢。女直遣使來貢。	　	　	北女直國四部請內附。	阻卜遣使來貢。	　	女直遣使來貢。回鶻來貢。
九年	女直國遣使來貢。	　	　	回鶻來貢。	　	突厥來貢。	　	女直國進喚鹿人。	　	阿薩蘭回鶻來貢。	　	　
十年	　	兀惹來貢。	鐵驪來貢。	　	　	　	鐵驪來貢。	　	　	鐵驪來貢。	回鶻來貢。	　
十一年	回鶻來貢。	　	　	　	　	　	　	　	　	　	　	　
十二年	　	回鶻來貢。高麗來貢。	高麗遣使請所俘生口，詔贖還之。	　	　	回鶻遣使來貢。	女直國遣使來貢。	　	党項、吐谷渾來貢。阻卜來貢。	　	鐵驪來貢。	女直國以宋人由海道賂本國及說兀惹叛，遣使來告。
十三年	　	女直國遣使來貢。	夏國遣使來貢。	　	高麗進鷹。	　	女直國遣使來貢。	　	　	回鶻來貢。兀惹歸款。鼻骨來貢。	阿薩蘭回鶻遣使來貢。高麗遣童子十人來學本國語。	鐵驪遣使來貢鷹、馬。
十四年	　	回鶻遣使來貢。女直國遣使來貢。	韓德威奏討党項之捷。	　	　	鐵驪來貢。回鶻來貢。	回鶻來貢。	　	　	　	阿薩蘭回鶻遣使為子求婚，不許。	　
十五年	河西党項叛，詔韓德威討之。兀惹酋長武周來降。女直國遣使來貢。	韓德威奏破党項之捷。	党項來貢。河西党項乞內附。兀惹烏昭慶乞歲時免進貢鷹、馬、貂皮，以其地遠，詔生辰、正旦外，並免。	　	　	鐵驪來貢。	党項酋長來貢。禁吐渾別部鬻馬於宋。	　	蕭撻凜奏討阻卜之捷。	　	　	　
十六年	　	夏國遣使來貢。	女直國遣使來貢。	　	鐵驪來貢。	　	　	　	　	　	　	　
十七年	　	　	　	　	　	兀惹烏昭慶來降，釋之。	　	　	　	　	　	　
十八年	　	　	　	　	　	阻卜叛酋鶻碾之弟鐵剌不率部民來附，鶻碾無所歸，繼降詔誅之。	　	　	　	　	　	回鶻來貢。
十九年	回鶻進梵僧名醫。	　	西南面招討司奏討党項之捷。	　	　	　	　	達盧骨部來貢。	西南面招討司奏討吐谷渾之捷。	　	鼻骨德來貢。	　
二十年	女直國宰相夷離底來貢。	女直國大王阿改遣其子出燭你、耶剌改、塞剌來朝。	　	鐵驪遣使來貢。	　	高麗遣使來進本國地裡圖。	　	　	　	　	　	　
二十一年	　	　	鐵驪來貢。	女直國來貢。兀惹、渤海、奧里米、越里篤、越里吉五部來貢。	　	党項來貢。阻卜酋長鐵剌里率諸部來降。	阻卜鐵剌里來朝。	　	　	　	　	　
二十二年	　	女直國遣使來貢。	　	　	　	　	　	党項來貢。阻卜酋鐵剌里來朝。鐵剌里求婚，許之。	南京女直國遣使獻所獲烏昭慶妻子。	　	　	　
二十三年	　	　	振党項部。回鶻來貢。	女直國及阿薩蘭回鶻各遣使來貢。鐵驪來貢。党項來寇。	　	阻卜酋鐵剌里遣使賀與宋和。	党項來貢。烏古來貢。女直國遣使來貢。阿薩蘭回鶻遣使來，因請先留使者，皆遣之。	　	　	　	　	　
二十四年	　	　	　	　	　	沙州燉煌王曹壽遣使進大食馬及美玉，以對衣、銀器等物賜之。	　	　	　	　	　	　
二十五年	　	　	　	　	　	　	　	　	西北路招討使蕭圖玉討叛命阻卜，破之。	　	　	　
二十六年	　	　	　	　	高麗進文化、武功兩殿龍鬚草地席。	　	　	　	　	　	　	蕭圖玉馳奏討甘州回鶻，降其王耶剌里，撫慰而還。
二十八年	　	　	　	　	西北路招討使蕭圖玉奏伐甘州回鶻，破其屬郡肅州，盡俘其生口。詔修土隗口故城以實之。	　	　	　	　	　	　	　
二十九年	　	　	　	　	　	詔西北路招討使、駙馬都尉蕭圖玉安撫西鄙，置阻卜等部。	　	　	　	　	　	　
開泰元年	女直國太保蒲撚等來朝。	　	　	　	　	　	　	鐵驪那沙等送兀惹百餘戶至賓州，賜絲絹以賞之。	　	　	　	　
二年	　	　	　	　	　	　	化哥等破阻卜酋長烏八之眾。	　	　	　	　	　
三年	阻卜酋長烏八朝貢，封烏八為王。女直國及鐵驪各遣使來貢。	　	　	沙州回鶻曹順遣使來貢，回賜衣幣。	　	　	　	　	　	　	　	　
四年	　	于闐國來貢。	耶律世良等破阻卜，上俘獲之數。女直國遣使來貢。	　	　	　	　	　	　	　	　	　
五年	耶律世良與蕭善寧東討高麗，破之。	阻卜酋長來朝。	叛命党項酋長魁可來降。	　	　	　	　	　	　	　	　	　
八年	鐵驪來貢。	　	　	　	　	　	詔阻卜依舊歲貢馬、駝、貂鼠、青鼠皮等物。	　	　	　	　	　
九年	　	　	　	　	　	　	遣使賜沙州回鶻燉煌郡王曹順衣物。	　	沙州回鶻燉煌郡王曹順遺使來貢。	大食國王遣使為其子冊哥請婚，進象及方物。	　	　
太平元年	　	　	大食國王復遣使請婚，以王子班郎君胡思里女可老封公主，降之。	　	　	　	阻卜扎剌部來貢。	　	　	党項酋長曷魯來貢。	　	　
二年	　	　	　	　	鐵驪遣使進兀惹人一十六戶。	　	　	　	　	　	　	　
六年	　	詔党項別部塌西設契丹節度使治之。	阻卜入寇，西北路招討使蕭惠破之。	　	遣西北路招討使蕭惠將兵伐甘州回鶻。	　	　	蕭惠攻甘州不克，師還。自是，西阻卜諸部皆叛。我軍與戰，敗績，涅里姑、曷不呂皆歿於陣，遣惕隱耶律洪古等將兵討之。	　	　	　	　
七年	　	　	　	　	　	詔蕭惠再討阻卜。	　	　	　	　	　	　
八年	党項寇邊，破之。	　	　	　	　	　	　	　	　	　	　	　
興宗重熙二年	女直國詳穩臺押率所部來貢。	　	　	　	　	　	　	　	　	　	　	　
六年	　	　	　	　	　	　	　	　	　	　	阻卜酋長來貢。	　
七年	　	高麗遣使來貢。	夏國遣使來貢。	　	　	　	阻卜酋長屯禿古塚來朝。	　	　	　	　	　
九年	　	　	　	　	　	　	　	　	　	　	女直國人侵邊，髮黃龍府路鐵驪軍拒之。	　
十年	　	　	　	　	　	　	　	　	夏國遣使獻所俘宋將及生口。	　	回鶻遣使來貢。	　
十一年	　	　	　	　	　	　	　	　	　	　	　	以吐渾及党項多鬻馬於夏國，詔沿邊築障塞以防之。
十二年	　	　	高麗國以加上尊號，遣使來賀。	夏國遣使進馬、駝。	　	阻卜大王屯禿古斯弟太尉撒葛里來朝。回鶻遣使來貢。	　	阻卜來貢。	　	夏人侵掠党項，遣延昌宮使高家奴問之。	　	　
十三年	　	　	高麗遣使來貢。	南院大王耶律高十奏党項等部叛附夏國。	羅漢奴奏所發部兵與党項戰不利。	阻卜酋長烏八遣其子執元昊求援使者窊邑改來，且乞以兵助戰，從之。	夏國遣使來朝。	夏國復遣使來詢。	　	獲叛命党項偵人，射鬼箭。元昊親執党項三部酋長來降。	　	　
十四年	　	　	　	高麗遣使來貢。	　	阻卜大王屯禿古斯率諸酋長來朝。夏國遣使來朝。	　	　	　	　	阿薩蘭回鶻遣使來貢。	　
十五年	　	　	高麗遣使來貢。	　	　	　	　	　	　	　	　	　
十六年	　	　	　	　	　	阻卜大王屯禿古塚來朝，進方物。	　	　	　	鐵驪仙門來朝，以前此未嘗入貢，仍加右監門衛大將軍。	　	女直國遣使來貢。阿薩蘭回鶻王以公主生子，遣使來告。
十七年	　	　	鐵不得國遣使來，乞以本部軍助攻夏國，不許。	高麗遣使來貢。	　	阻卜進馬、駝二萬。	　	　	　	　	　	　
十八年	　	　	高昌國遣使來貢。	　	　	阻卜來貢馬、駝、珍玩。	　	　	　	　	　	　
十九年	　	　	　	高麗遣使來貢。	遠夷拔思母部遣使來貢。	高麗遣使來賀伐夏之捷。	阻卜酋長豁得剌弟斡得來朝，加太尉遣之。	阻卜酋長喘只葛拔里斯來朝。	　	　	阻卜酋長豁得剌遣使來貢。	　
二十年	　	吐蕃遣使來貢。	　	　	　	　	　	　	　	　	　	　
二十一年	　	　	　	　	　	　	　	　	　	　	阿薩蘭回鶻遣使貢名馬、文豹。	　
二十二年	　	阿薩蘭回鶻為鄰國所侵，遣使求援。	　	　	　	高麗遣使來貢。	阻卜大王屯禿古斯率諸部長進馬、駝。	　	　	　	　	　
二十三年	夏國遣使貢方物。	　	　	高麗遣使來貢。	夏國遣使來貢。	吐蕃遣使來貢。	　	　	　	　	阻卜酋長來貢。	　
道宗清寧二年	　	　	　	　	　	阻卜酋長來朝及貢方物。	　	　	　	　	　	　
咸雍二年	　	　	　	　	　	回鶻來貢。阻卜酋長來貢。	　	　	　	　	　	　
四年	　	　	　	阿薩蘭回鶻遣使來貢。	　	　	　	　	　	　	　	夏國遣使來貢。
五年	　	　	阻卜酋長叛，以南京留守晉王仁先為西北路招討使，領禁軍討之。	　	　	吐蕃遣使來貢。	　	　	晉王仁先遣人奏阻卜之捷。	　	　	　
六年	　	阻卜酋長來朝，且貢方物。	　	西北路招討司以所降阻卜酋來。	　	　	阻卜酋長來朝。	　	　	西北路招討司擒阻卜酋長來獻，以所降阻卜酋長圖木同刮來。	　	　
七年	　	女直國進馬。	　	　	　	吐蕃來貢。	　	　	　	　	高麗遣使來貢。	回鶻來貢。
八年	　	　	　	　	　	振易州貧民。高麗遣使來貢。	　	　	　	回鶻來貢。	　	　
九年	　	　	　	　	　	　	　	　	　	回鶻來貢。	　	高麗、夏國並遣使來貢。
十年	　	阻卜諸酋長來貢。	　	　	　	　	　	　	　	　	高麗遣使來貢。	　
大康元年	　	　	　	　	　	吐蕃來貢。	　	　	　	　	　	　
三年	　	　	　	　	　	回鶻來貢。	　	　	　	　	　	　
四年	　	　	　	高麗遣使乞賜鴨淥江以東地，不許。	　	阻卜酋長來貢。阻卜諸酋長進良馬。	　	　	　	　	回鶻遣使來貢。	　
五年	　	　	　	　	　	阻卜酋長來貢。	　	　	　	　	　	　
六年	　	　	　	　	　	女直國遣使來貢。	　	　	　	　	　	　
七年	女直國貢良馬。	　	　	　	　	阻卜余古赧來貢。	　	　	　	　	高麗遣使來貢。	　
八年	鐵驪酋長貢方物。	　	　	　	　	阻卜酋長來貢。	　	　	　	　	　	　
九年	　	　	　	　	　	阻卜酋長來貢。	　	　	　	　	　	　
十年	　	　	　	女直國貢良馬及犬。	阻卜諸酋長來貢。	　	　	　	　	　	　	　
大安二年	　	　	女直國來貢良馬。	　	　	阻卜諸酋長來朝。	　	　	　	　	高麗遣使謝封冊。	　
三年	　	　	女直國來貢良馬。高麗遣使來貢。	　	　	　	　	　	　	　	　	　
四年	　	　	免高麗歲貢。	　	　	　	　	　	　	　	　	　
五年	高麗遣使來貢。	　	　	　	回鶻遣使貢良馬。	　	　	　	　	　	　	　
六年	　	　	女直國遣使貢良馬。	　	　	　	　	　	　	　	高麗遣使來貢。	　
七年	　	　	　	　	　	回鶻遣使貢方物。	回鶻遣使來貢異物，不納，厚賜遣之。	　	日本國遣鄭元等二十八人來貢。	　	　	　
八年	阻卜諸酋長來降。	　	　	阻卜酋長來貢。	　	　	　	　	日本國遣使來貢。	阻卜酋長磨古斯殺金吾禿古斯以叛，遣奚六部禿里耶律郭三發諸蕃部兵討之。	　	　
九年	磨古斯入寇。	西北路招討使耶律阿魯掃古追磨古斯還，都監蕭張九遇賊眾，與戰不利，二室韋、拽剌、北王府、特滿群牧、宮分等軍多陷於賊。	　	　	　	　	　	　	　	有司奏磨古斯詣西北路招討使，耶律撻不也遇害，附近阻卜酋長烏古扎叛去。達里底及拔思母並寇倒塌嶺路。阻卜酋轄底侵掠西路群牧。	　	　
十年	烏古扎等來降。達里底、拔思母二部入寇。	西南面招討司奏拔思母之捷。達里底入寇。	山北路副部署蕭阿魯帶奏達里底之捷。	閏月，達里底、拔思母二部來降。	　	　	阻卜來寇倒塌嶺，西路群牧及渾河北牧馬皆為所掠。東北路統軍使耶律石柳以兵追及，盡獲所掠。	　	　	西北路統軍司獲阻卜酋拍撒葛、蒲魯等來獻。	惕德酋銅刮、阻卜酋的烈等來降。達里底及拔思母等來寇，山北副部署阿魯帶擊敗之。	西北路統軍司奏討磨古斯之捷。
壽隆元年	西南面招討司奏拔思母入寇，擊敗之。蕭阿魯帶等討拔思母，破之。	高麗遣使來貢。	　	女直國遣使來貢。	　	阻卜酋長禿里底及圖木葛來朝貢。	阻卜酋長猛達斯來貢	　	　	　	女直國遣使進馬。	　
二年[1]	西南面招討司討拔思母，破之。	　	　	　	　	　	阻卜來貢。	　	　	高麗來貢。	　	　
三年	　	阻卜酋長猛撒葛及粘八葛酋長禿骨撒、梅里急酋長忽魯八等請復舊地，以貢方物。	　	　	斡特剌討阻卜，破之。	　	　	　	斡特剌遣人奏梅里急之捷。	　	　	西北路統軍司奏梅里急之捷。
五年	詔夏國王李乾順伐拔思母部。	　	　	　	　	阻卜來貢。	　	　	　	　	　	　
六年	　	　	　	　	　	阻卜酋長來貢。	　	　	　	　	　	女直國遣使來貢。鐵驪來貢。
七年	　	　	　	　	　	　	阻卜、鐵驪酋長來貢。	　	　	　	　	　
天祚乾統二年	　	　	　	　	　	　	阻卜入寇，斡特剌等戰敗之。	　	　	　	　	　
三年	女直國梟蕭海里首，遣使來獻。	　	　	　	　	　	　	　	　	吐蕃遣使來貢。	　	　
四年	　	　	　	　	　	吐蕃遣使來貢。	　	　	　	　	　	　
六年	　	　	　	　	　	　	阻卜來貢。	　	　	　	　	　
八年	　	　	　	　	　	西北路招討使蕭敵里率諸蕃酋長來朝。	　	　	　	　	高麗遣使來謝。	　
九年	　	　	夏國以宋不歸地，遣使來告。	　	　	　	　	　	　	　	　	高麗遣使來貢。
十年	　	　	　	　	　	阻卜來貢。	　	　	　	　	　	　
天慶二年	　	　	　	　	　	和州回鶻來貢。阻卜酋長來貢。	　	　	　	　	　	　
三年	　	　	　	　	　	斡朗改國遣使來獻良犬。	　	　	　	　	　	回鶻遣使來貢。高麗遣使來謝。
四年	　	　	女直國遣使索叛人阿疏，不發。	　	　	　	女直國復遣使來取阿疏，不發，即遣侍御阿息保往問境上建城堡之故。	阿息保還，言女直國主之意，若還阿疏；朝貢如舊；不然，城未能已。女直國遣師來攻。	　	女直國下寧江州。	　	鐵驪、兀惹叛歸女直。
五年	遣僧家奴持書約和，斥女直國主名。女直國主遣塞剌復書，若歸叛人阿疏，遷黃龍府於別地，然後圖之。	　	遣取律張家奴、蒲蘇、阿息保、聶葛、紇石保、得里底等齎書使女直國，斥其名，冀以速降。	　	張家奴等以女直國主書來，復遣張家奴以往。	張家奴等還，女直國主復書，亦指其名，諭之使降。遣蕭辭剌使女直國，以書辭不屈，見留。	都統斡里朵等及女直軍戰於白馬濼，敗績。	　	女直軍下黃龍府。女直國主遣塞剌以書來報，若歸我叛人阿疏，即當班師。	　	　	　
六年	　	　	　	　	女直軍攻下瀋州。族人痕孛、鐸剌、吳十、撻不也、道剌、酬斡、平甲、盧僕古、辟離剌、韓七、吳十、那也溫、曷魯十三人皆歸女直國	　	　	　	　	　	　	　
七年	女直軍攻春州，女古、皮室四部及渤海人皆降。復下泰州。	　	　	　	　	　	　	　	　	　	　	都元帥秦晉國王淳遇女直軍，戰於蒺藜山，敗績。女直軍復攻拔顯州。是歲，女直國主即皇帝位，建元天輔，國號金。
八年	遣耶律奴哥等使金國，復議和好。保安軍節度使張崇以雙州民二百戶歸金國。	耶律奴哥還，金主復書，大略言，如以兄事朕，歲貢方物，歸上、中京、興中府三路州縣，以親王、公主、駙馬、大臣子孫為質，及還我行人與元給信牌，並宋、夏、高麗往復書詔、表牒，可以如約。	復遣奴哥使金國。	　	奴哥以書來，約不踰此月見報。復遣奴哥使金國，要以酌中之議。金主遣胡突袞與奴哥持書來，大略如前所約。	遣奴哥齎三國書詔、表牒，復使金國。通、祺、雙、遼四州之民八百餘戶歸附金朝。	金朝復遣胡突袞以書來，免所取質，及上京、興中府所屬州郡，裁減歲幣之數；如能以兄事朕，冊用漢儀，可以如約。	奴哥、突迭復使金朝，議冊禮。	突迭見留，奴哥還。金主復書，謂如不能從，勿復遣使。遣奴哥復使金朝。蕭寶、訛里野、特末、霍石、韓慶和、王伯龍等各率眾歸於金。	奴哥、突迭持金主書來。龍化州張應古、劉仲良、渤海二哥等率眾歸附金朝。	　	以議定冊禮，遣奴哥使於金。寧昌軍節度使劉宏以懿州民戶三千歸金。
九年	金遣烏林答贊謨持書來迎冊禮。	　	遣知右夷離畢事蕭習泥烈、大理寺提點楊勉等冊金主為東懷國皇帝。	　	阻卜補疏只等反。	　	金復遣烏林答贊謨持書來，責冊文無兄事之語，不言大金，而云「東懷，」及乖體式。如依前書所定，然後可從。楊詢卿羅子韋率眾歸金。	　	復遣蕭習泥烈、楊近忠先持冊稿○使於金。	　	　	遣使送贊謨以還。
十年	　	金復遣贊謨以書並撰到冊文副本以來，仍責乞兵於高麗。	以金朝所定冊草內「大聖」二字與先世稱號相同，復遣習泥烈持書議之。	　	金主親師攻上京，已攻外郛，留守撻不也出降。	　	　	　	　	　	　	　
保大元年	　	　	　	　	南京統軍耶律余睹率將吏戶歸於金。	　	　	　	　	　	　	　
二年	金師克中京，進下澤州。	金師敗奚王霞末於北安州，遂降其城。	聞金師將出嶺西，遂趨白水濼。群牧使謨魯斡歸金。聞金師將及，輕騎以遁。殿前點檢耶律高八率衛土歸金。	金師取西京。	　	夏國遣兵來援，為金師所敗。	　	親遇金師，戰於石輦驛，敗績。夏國遣曹介來問起居。	奉聖州降金。	蔚州降金	金師屯奉聖，上遁於落昆髓。	金主撫定南京。
三年	遼興軍、宜、錦、乾、顯、成、川、豪、懿等州降金。	興中府降金。歸德軍及隰、遷、潤三州款附金。	　	金師至居庸關，耶律大石被擒。金師圍輜重於青塚硬寨。金遣人以書來招，回書請和。金帥以兵送族屬東行，乃遣兵邀戰於白水濼，為金師所敗。金帥以書來招，以書答之，金帥復書，不許請和。	回金帥書，乞為弟若子，量賜土地。夏國王李乾順請臨其國。	冊李乾順為夏國皇帝。	　	　	　	　	　	　
四年	金師來攻，上棄營北遁。特母哥歸金。	　	　	　	　	　	　	蕭撻不也、察剌歸金。	建州降金。	興中府降金。	　	　
五年	党項小斛祿遣人請臨其地。上過沙漠，金師忽至，徒步出走。	上至應州新城，為金帥完顏婁室等所獲。	　	　	　	　	　	　	　	　		


Chinese text: This work was published before January 1, 1923, and is in the
public domain worldwide because the author died at least 100 years ago.
