《漢興以來將相名臣年表》 Yearly Table of Statesmen, Generals and Officials since the Han Dynasty's Founding

公元前	紀年	大事紀。	相位。	將位。	御史大夫位。
162	二	匈奴和親。地動。八月戊辰，蒼免相。	十五。八月庚午，御史大夫申屠嘉為丞相，封故安侯。		御史大夫青。
161	三	置谷口邑。	二		
160	四		三		
159	五	上幸雍。	四		
158	六	匈奴三萬人入上郡，二萬人入雲中。	五	以中大夫令免為車騎將軍，軍飛狐，故楚相蘇意為將軍，軍句注；。將軍張武屯北地；河內守周亞夫為將軍，軍細柳；宗正劉禮軍霸上；祝茲侯徐厲軍棘門：以備胡。數月，胡去，亦罷。	
157	七	六月己亥，孝文皇帝崩。丁未，太子立。民出臨三日，葬霸陵。	六	中尉亞夫為車騎將軍，郎中令張武為復土將軍，屬國捍為將屯將軍。詹事戎奴為車騎將軍，侍太后。	
156	孝景元年	立孝文皇帝廟，郡國為太宗廟。	七。置司徒官。		
155	二	立皇子德為河閒王，閼為臨江王，餘為淮陽王，非為汝南王，彭祖為廣川王，發為長沙王。四月中，孝文太后崩。嘉卒。	八。開封侯陶青為丞相。		御史大夫錯。
154	三	吳楚七國反，發兵擊，皆破之。皇子端為膠西王，勝為中山王。	二。置太尉官。	中尉條侯周亞夫。為太尉，擊吳楚；曲周侯酈寄為將軍，擊趙；竇嬰為大將軍，屯滎陽，欒布為將軍，擊齊。	
153	四	立太子。	三	二。太尉亞夫。	御史大夫蚡。
152	五	置陽陵邑。丞相北平侯張蒼卒。	四	三	
151	六	徙廣川王彭祖為趙王。	五	四	御史大夫陽陵侯岑邁。
150	七	廢太子榮為臨江王。四月丁巳，膠東王立為太子。青罷相。	六月乙巳，太尉條侯亞夫為丞相。罷太尉官。	五。遷為丞相。	御史大夫舍。
149	中元年		二		
148	二	皇子越為廣川王，寄為膠東王。	三		
147	三	皇子乘為清河王。亞夫免相。	四。御史大夫桃侯劉舍為丞相。		御史大夫綰。
146	四	臨江王徵，自殺，葬藍田，燕數萬為銜士置冢上。	二		
145	五	皇子舜為常山王。	三		
144	六	梁孝王武薨。分梁為五國，王諸子：子買為梁王，明為濟川王，彭離為濟東王，定為山陽王，不識為濟陰王。	四		
143	後元年	五月，地動。七月乙巳，日蝕。舍免相。	五。八月壬辰，御史大夫建陵侯衛綰為丞相。		御史大夫不疑。
142	二		二	六月丁丑，御史大夫岑邁卒。	
141	三	正月甲子，孝景皇帝崩。二月丙子，太子立。	三		
140	孝武建元元年	綰免相。	四。魏其侯竇嬰為丞相。置太尉。	武安侯田蚡為太尉。	御史大夫抵。
139	二	置茂陵。嬰免相。	二月乙未，太常柏至侯許昌為丞相。蚡免太尉。罷太尉官。		御史大夫趙綰。
138	三	東甌王廣武侯望率其眾四萬餘人來降，處廬江郡。	二		
137	四		三		御史大夫青翟。
136	五	行三分錢。	四		
135	六	正月，閩越王反。孝景太后崩。。昌免相。	五。六月癸巳，武安侯田蚡為丞相。	青翟為太子太傅。	御史大夫安國。
134	元光元年		二		
133	二	帝初之雍，郊見五畤。	三	夏，御史大夫韓安國為護軍將軍，衛尉李廣為驍騎將軍，太僕公孫賀為輕車將軍，大行王恢為將屯將軍，太中大夫李息為材官將軍，篡單于馬邑，不合，誅恢。	
132	三	五月丙子，河決于瓠子。	四		
131	四	十二月丁亥，地動。蚡卒。	五。平棘侯薛澤為丞相。		御史大夫歐。
130	五	十月，族灌夫家，棄魏其侯市。	二		
129	六	南夷始置郵亭。	三	太中大夫衛青為車騎將軍，出上谷；衛尉李廣為驍騎將軍，出鴈門；大中大夫公孫敖為騎將軍，出代；太僕公孫賀為輕車將軍，出雲中：皆擊匈奴。	
128	元朔元年	衛夫人立為皇后。	四	車騎將軍青出雁門，擊匈奴。衛尉韓安國為將屯將軍，軍代，明年，屯漁陽卒。	
127	二		五	春，車騎將軍衛青出雲中，至高闕，取河南地。	
126	三	匈奴殺代太守友。	六		御史大夫弘。
125	四	匈奴入定襄、代、上郡。	七		
124	五	匈奴殺代都尉朱英。澤免相。	八。十一月乙丑，御史大夫公孫弘為丞相，封平津侯。	春，長平侯衛青為大將軍，擊右賢。衛尉蘇建為游擊將軍，屬青。左內史李沮為強弩將軍，太僕賀為車騎將軍，代相李蔡為輕車將軍，岸頭侯張次公為將軍，大行息為將軍：皆屬大將軍，擊匈奴。	
123	六		二	大將軍青再出定襄擊胡。合騎侯公孫敖為中將軍，太僕賀為左將軍，郎中令李廣為後將軍。翕侯趙信為前將軍，敗降匈奴。衛尉蘇建為右將軍，敗，身脫。左內史沮為彊弩將軍。皆屬青。	
122	元狩元年	十月中，淮南王安、衡山王賜謀反，皆自殺，國除。	三		御史大夫蔡。
121	二	匈奴入鴈門、代郡。江都王建反。膠東王子慶立為六安王。弘卒。	四。御史大夫樂安侯李蔡為丞相。	冠軍侯霍去病為驃騎將軍，擊胡，至祁連；合騎侯敖為將軍。出北地；博望侯張騫、郎中令李廣為將軍，出右北平。	御史大夫湯。
120	三	匈奴入右北平、定襄。	二		
119	四		三	大將軍青出定襄，郎中令李廣為前將軍，太僕公孫賀為左將軍，主爵趙食其為右將軍，平陽侯曹襄為後將軍：擊單于。	
118	五	蔡坐侵園堧，自殺。	四。太子少傅武彊侯莊青翟為丞相。		
117	六	四月乙巳，皇子閎為齊王，旦為燕王，胥為廣陵王。	二		
116	元鼎元年		三		
115	二	青翟有罪，自殺。	四。太子太傅高陵侯趙周為丞相。	湯有罪，自殺。	御史大夫慶。
114	三		二		
113	四	立常山憲王子平為真定王，商為泗水王。六月中，河東汾陰得寶鼎。	三		
112	五	三月中，南越相嘉反，殺其王及漢使者。八月，周坐酎金，自殺。	四。九月辛巳，御史大夫石慶為丞相，封牧丘侯。	衛尉路博德為伏波將軍，出桂陽；主爵楊僕為樓船將軍，出豫章：皆破南越。	
111	六	十二月，東越反。	二	故龍镪侯韓說為橫海將軍，出會稽；樓船將軍楊僕出豫章；中尉王溫舒出會稽：皆破東越。	御史大夫式。
110	元封元年。		三		御史大夫寬。
109	二		四	秋，樓船將軍楊僕、左將軍荀彘出遼東，擊朝鮮。	
108	三		五		
107	四		六		
106	五		七		
105	六		八		
104	太初元年	改曆，以正月為歲首。	九		
103	二	正月戊寅，慶卒。	十。三月丁卯，太僕公孫賀為丞相，封葛繹侯。		
102	三		二		御史大夫延廣。
101	四		三		
100	天漢元年		四		御史大夫卿。
99	二		五		
98	三		六		御史大夫周。
97	四		七	春，貳師將軍李廣利出朔方，至余吾水上；游擊將軍韓說出五原；因杅將軍公孫敖：皆擊匈奴。	
96	太始元年		八		
95	二		九		
94	三		十		御史大夫勝之。
93	四		十一		
92	征和元年	冬，賀坐為蠱死。	十二		
91	二	七月壬午，太子發兵，殺游擊將軍說、使者江充。	三月丁巳，涿郡太守劉屈氂為丞相，封彭城侯。		御史大夫成。
90	三	六月，劉屈氂因蠱斬。	二	春，貳師將軍李廣利出朔方，以兵降胡。重合侯莽通出酒泉，御史大夫商丘成出河西，擊匈奴。	
89	四		六月丁巳，大鴻臚田千秋為丞相，封富民侯。		
88	後元元年		二		
87	二		三	二月己巳，光祿大夫霍光為大將軍，博陸侯；都尉金日磾為車騎將軍，秺侯；太僕安陽侯上官舛為大將軍。	
86	孝昭始元元年		四。九月，日磾卒。		
85	二		五		
84	三		六		
83	四		七	三月癸酉，衛尉王莽為左將軍，騎都尉上官安為車騎將軍。	
82	五		八		
81	六		九		
80	元鳳元年		十	九月庚午，光祿勳張安世為右將軍。	御史大夫訢。
79	二		十一		
78	三		十二	十二月庚寅，中郎將范明友為度遼將軍，擊烏丸。	
77	四	三月甲戌，千秋卒。	三月乙丑，御史大夫王訢為丞相，封富春侯。		御史大夫楊敞。
76	五	十二月庚戌，訢卒。	二		
75	六		十一月乙丑，御史大夫楊敞為丞相，封安平侯。	九月庚寅，衛尉平陵侯范明友為度遼將軍，擊烏丸。	
74	元平元年	敞卒。	九月戊戌，御史大夫蔡義為丞相，封陽平侯。	四月甲申，光祿大夫龍镪侯韓曾為前將軍。五月丁酉，水衡都尉趙充國為後將軍，右將軍張安世為車騎將軍。	御史大夫昌水侯田廣明。
73	孝宣本始元年		二		
72	二		三	七月庚寅，御史大夫田廣明為祁連將軍，龍镪侯韓曾為後將軍，營平侯趙充國為蒲類將軍，度遼將軍平陵侯范明友為雲中太守，富民侯田順為虎牙將軍：皆擊匈奴。	
71	三	三月戊子，皇后崩。六月乙丑，義薨。	六月甲辰，長信少府韋賢為丞相，封扶陽侯。田廣明、田順擊胡還，皆自殺。充國奪將軍印。		御史大夫魏相。
70	四	十月乙卯，立霍后。	二		
69	地節元年		三		
68	二		四。三月庚午，將軍光卒。	二月丁卯，侍中、中郎將霍禹為右將軍。	
67	三	立太子。五月甲申，賢老，賜金百斤。	六月壬辰，御史大夫魏相為丞相，封高平侯。	七月，安世為大司馬、衛將軍。禹為大司馬。	御史大夫邴吉。
66	四		二。七月壬寅，禹腰斬。		
65	元康元年		三		
64	二		四		
63	三		五		
62	四		六。八月丙寅，安世卒。		
61	神爵元年	上郊甘泉太畤、汾陰后土。	七	四月，樂成侯許延壽為強弩將軍。後將軍充國擊羌。酒泉太守辛武賢為破羌將軍。韓曾為大司馬、車騎將軍。	
60	二	上郊雍五畤。祋祤出寶璧玉器。	八		
59	三	三月，相卒。	四月戊戌，御史大夫邴吉為丞相，封博陽侯。		御史大夫望之。
58	四		二		
57	五鳳元年		三		
56	二		四。五月己丑，曾卒。	五月，延壽為大司馬、車騎將軍。	御史大夫霸。
55	三	正月，吉卒。	三月壬申，御史大夫黃霸為丞相，封建成侯。		御史大夫延年。
54	四		二		
53	甘露元年		三。三月丁未，延壽卒。		
52	二	赦殊死，賜高年及鰥寡孤獨帛，女子牛酒。	四		御史大夫定國。
51	三	三月己丑，霸薨。	七月丁巳，御史大夫于定國為丞相，封西平侯。		太僕陳萬年為御史大夫。
50	四		二		
49	黃龍元年		三	樂陵侯史子長為大司馬、車騎將軍。太子太傅蕭望之為前將軍。	
48	孝元初元元年		四		
47	二		五		
46	三		六	十二月，執金吾馮奉世為右將軍。	
45	四		七		
44	五		八	二月丁巳，平恩侯許嘉為左將軍。	中少府貢禹為御史大夫。十二月丁未，長信少府薛廣德為御史大夫。
43	永光元年	十月戊寅，定國免。	九。七月，子長免，就第。	九月，衛尉平昌侯王接為大司馬、車騎將軍。二月，廣德免。	七月，太子太傅韋玄成為御史大夫。
42	二	三月壬戌朔，日蝕。	二月丁酉，御史大夫韋玄成為丞相，封扶陽侯。丞相賢子。	七月，太常任千秋為奮武將軍，擊西羌；雲中太守韓次君為建威將軍，擊羌。後不行。	二月丁酉，右扶風鄭弘為御史大夫。
41	三		二	右將軍平恩侯許嘉為車騎將軍，侍中、光祿大夫樂昌侯王商為右將軍，右將軍馮奉世為左將軍。	
40	四		三		
39	五		四		
38	建昭元年		五		
37	二		六	弘免。	光祿勳匡衡為御史大夫。
36	三	六月甲辰，玄成薨。	七月癸亥，御史大夫匡衡為丞相，封樂安侯。		衛尉繁延壽為御史大夫。
35	四		二		
34	五		三		
33	竟寧元年		四	六月己未，衛尉楊平侯王鳳為大司馬、大將軍。延壽卒。	三月丙寅，太子少傅張譚為御史大夫。
32	孝成建始元年		五		
31	二		六		
30	三	十二月丁丑，衡免。	七。八月癸丑，遣光祿勳詔嘉上印綬免，賜金二百斤。	十月，右將軍樂昌侯王商為光祿大夫、右將軍，執金吾弋陽侯任千秋為右將軍。譚免。	廷尉尹忠為御史大夫。
29	四		三月甲申，右將軍樂昌侯王商為右丞相。	任千秋為左將軍，長樂衛尉史丹為右將軍。十月己亥，尹忠自剌殺。	少府張忠為御史大夫。
28	河平元年		二		
27	二		三		
26	三		四	十月辛卯，史丹為左將軍，太僕平安侯王章為右將軍。	
25	四	四月壬寅，丞相商免。	六月丙午，諸吏散騎光祿大夫張禹為丞相。		
24	陽朔元年		二		
23	二		三	張忠卒。	六月，太僕王音為御史大夫。
22	三			九月甲子，御史大夫王音為車騎將軍。	十月乙卯，光祿勳于永為御史大夫。
21	四		七月乙丑，右將軍光祿勳平安侯王章卒。	閏月壬戌，永卒。	
20	鴻嘉元年	三月，禹卒。	四月庚辰，薛宣為丞相。

<p>Source: Chinese Text Project <a href="http://ctext.org/shiji">http://ctext.org/shiji</a> Partial translation adapted from Herbert J. Allen's "Ssŭma Ch'ien's Historical Records" (Royal Asiatic Society, 1894).</p>
