《十二諸侯年表》 Yearly Chronicle of the Feudal Lords

太史公讀春秋歷譜諜，至周厲王，未嘗不廢書而嘆也。曰：鳴呼，師摯見之矣！紂為象箸而箕子唏。周道缺，詩人本之衽席，關雎作。仁義陵遲，鹿鳴刺焉。及至厲王，以惡聞其過，公卿懼誅而禍作，厲王遂奔于彘，亂自京師始，而共和行政焉。是後或力政，彊乘弱，興師不請天子。然挾王室之義，以討伐為會盟主，政由五伯，諸侯恣行，淫侈不軌，賊臣篡子滋起矣。齊、晉、秦、楚其在成周微甚，封或百里或五十里。晉阻三河，齊負東海，楚介江淮，秦因雍州之固，四海迭興，更為伯主，文武所褒大封，皆威而服焉。是以孔子明王道，干七十餘君，莫能用，故西觀周室，論史記舊聞，興於魯而次春秋，上記隱，下至哀之獲麟，約其辭文，去其煩重，以制義法，王道備，人事浹。七十子之徒口受其傳指，為有所刺譏褒諱挹損之文辭不可以書見也。魯君子左丘明懼弟子人人異端，各安其意，失其真，故因孔子史記具論其語，成左氏春秋。鐸椒為楚威王傳，為王不能盡觀春秋，采取成敗，卒四十章，為鐸氏微。趙孝成王時，其相虞卿上采春秋，下觀近勢，亦著八篇，為虞氏春秋。呂不韋者，秦莊襄王相，亦上觀尚古，刪拾春秋，集六國時事，以為八覽、六論、十二紀，為呂氏春秋。及如荀卿、孟子、公孫固、韓非之徒，各往往捃摭春秋之文以著書，不同勝紀。漢相張蒼歷譜五德，上大夫董仲舒推春秋義，頗著文焉。

公元前	年	周	魯	齊	晉	秦	楚	宋	衛	陳	蔡	曹	鄭	燕	吳
825		三	魯武公敖元年	二十六	十六	二十	三	六	三十	七	十三	曹戴伯鮮元年		二	
824		四	二	齊厲公無忌元年	十七	二十一	四	七	三十一	八	十四	二		三	
823		五	三	二	十八	二十二	五	八	三十二	九	十五	三		四	
822		六	四	三	晉獻侯籍元年	二十三	六	九	三十三	十	十六	四		五	
821		七	五	四	二	秦莊公其元年	楚熊徇元年	十	三十四	十一	十七	五		六	
820		八	六	五	三	二	二	十一	三十五	十二	十八	六		七	
819		九	七	六	四	三	三	十二	三十六	十三	十九	七		八	
818		十	八	七	五	四	四	十三	三十七	十四	二十	八		九	
817	甲申	十一	九	八	六	五	五	十四	三十八	十五	二十一	九		十	
816		十二	十	九	七	六	六	十五	三十九	十六	二十二	十		十一	
815		十三	魯懿公戲元年	齊文公赤元年	八	七	七	十六	四十	十七	二十三	十一		十二	
814		十四	二	二	九	八	八	十七	四十一	十八	二十四	十二		十三	
813		十五	三	三	十	九	九	十八	四十二	十九	二十五	十三		十四	
812		十六	四	四	十一	十	十	十九	衛武公和元年	二十	二十六	十四		十五	
811		十七	五	五	穆侯弗生元年	十一	十一	二十	二	二十一	二十七	十五		十六	
810		十八	六	六	二	十二	十二	二十一	三	二十二	二十八	十六		十七	
809		十九	七	七	三	十三	十三	二十二	四	二十三	蔡釐侯所事元年	十七		十八	
808		二十	八	八	四取齊女為夫人。	十四	十四	二十三	五	二十四	二	十八		十九	
807	甲午	二十一	九	九	五	十五	十五	二十四	六	二十五	三	十九		二十	
806		二十二	魯孝公稱元年，伯御立為君，稱為諸公子云。伯御，武公孫。	十	六	十六	十六	二十五	七	二十六	四	二十	鄭桓公友元年始封。周宣王母弟。	二十一	
805		二十三	二	十一	七以伐條生太子仇。	十七	十七	二十六	八	二十七	五	二十一	二	二十二	
804		二十四	三	十二	八	十八	十八	二十七	九	二十八	六	二十二	三	二十三	
803		二十五	四	齊成公說元年	九	十九	十九	二十八	十	二十九	七	二十三	四	二十四	
802		二十六	五	二	十以千畝戰。生仇弟成師。二子名反，君子譏之。後亂。	二十	二十	二十九	十一	三十	八	二十四	五	二十五	
801		二十七	六	三	十一	二十一	二十一	三十	十二	三十一	九	二十五	六	二十六	
800		二十八	七	四	十二	二十二	二十二	三十一宋惠公薨。	十三	三十二	十	二十六	七	二十七	
799		二十九	八	五	十三	二十三	楚熊鄂元年	宋戴公立。元年	十四	三十三	十一	二十七	八	二十八	
798		三十	九	六	十四	二十四	二	二	十五	三十四	十二	二十八	九	二十九	
797	甲辰	三十一	十	七	十五	二十五	三	三	十六	三十五	十三	二十九	十	三十	
796		三十二	十一周宣王誅伯御，立其弟稱，是為孝公。	八	十六	二十六	四	四	十七	三十六	十四	三十	十一	三十一	
795		三十三	十二	九	十七	二十七	五	五	十八	陳武公靈元年	十五	曹惠伯雉元年	十二	三十二	
794		三十四	十三	齊莊公贖
元年	十八	二十八	六	六	十九	二	十六	二	十三	三十三	
793		三十五	十四	二	十九	二十九	七	七	二十	三	十七	三	十四	三十四	
792		三十六	十五	三	二十	三十	八	八	二十一	四	十八	四	十五	三十五	
791		三十七	十六	四	二十一	三十一	九	九	二十二	五	十九	五	十六	三十六	
790		三十八	十七	五	二十二	三十二	楚若敖元年	十	二十三	六	二十	六	十七	燕頃侯元年	
789		三十九	十八	六	二十三	三十三	二	十一	二十四	七	二十一	七	十八	二	
788		四十	十九	七	二十四	三十四	三	十二	二十五	八	二十二	八	十九	三	
787	甲寅	四十一	二十	八	二十五	三十五	四	十三	二十六	九	二十三	九	二十	四	
786		四十二	二十一	九	二十六	三十六	五	十四	二十七	十	二十四	十	二十一	五	
785		四十三	二十二	十	二十七穆侯卒，弟殤叔自立，太子仇出奔。	三十七	六	十五	二十八	十一	二十五	十一	二十二	六	
784		四十四	二十三	十一	晉殤叔元年	三十八	七	十六	二十九	十二	二十六	十二	二十三	七	
783		四十五	二十四	十二	二	三十九	八	十七	三十	十三	二十七	十三	二十四	八	
782		四十六	二十五	十三	三	四十	九	十八	三十一	十四	二十八	十四	二十五	九	
781		幽王元年	二十六	十四	四仇攻殺殤叔，立為文侯。	四十一	十	十九	三十二	十五	二十九	十五	二十六	十	
780		二三川震。	二十七	十五	晉文侯仇元年	四十二	十一	二十	三十三	陳夷公說元年	三十	十六	二十七	十一	
779		三王取褒姒。	二十八	十六	二	四十三	十二	二十一	三十四	二	三十一	十七	二十八	十二	
778		四	二十九	十七	三	四十四	十三	二十二	三十五	三	三十二	十八	二十九	十三	
777	甲子	五	三十	十八	四	秦襄公元年	十四	二十三	三十六	陳平公燮元年	三十三	十九	三十	十四	
776		六	三十一	十九	五	二	十五	二十四	三十七	二	三十四	二十	三十一	十五	
775		七	三十二	二十	六	三	十六	二十五	三十八	三	三十五	二十一	三十二	十六	
774		八	三十三	二十一	七	四	十七	二十六	三十九	四	三十六	二十二	三十三	十七	
773		九	三十四	二十二	八	五	十八	二十七	四十	五	三十七	二十三	三十四	十八	
772		十	三十五	二十三	九	六	十九	二十八	四十一	六	三十八	二十四	三十五	十九	
771		十一幽王為犬戎所殺。	三十六	二十四	十	七始列為諸侯。	二十	二十九	四十二	七	三十九	二十五	三十六以幽王故，為犬戎所殺。	二十	
770		平王元年東徙雒邑。	三十七	二十五	十一	八初立西畤，祠白帝。	二十一	三十	四十三	八	四十	二十六	鄭武公滑突元年	二十一	
769		二	三十八	二十六	十二	九	二十二	三十一	四十四	九	四十一	二十七	二	二十二	
768		三	魯惠公弗湦
元年	二十七	十三	十	二十三	三十二	四十五	十	四十二	二十八	三	二十三	
767	甲戌	四	二	二十八	十四	十一	二十四	三十三	四十六	十一	四十三	二十九	四	二十四	
766		五	三	二十九	十五	十二伐戎至岐而死。	二十五	三十四	四十七	十二	四十四	三十	五	燕哀侯元年	
765		六	四	三十	十六	秦文公元年	二十六	宋武公司空元年	四十八	十三	四十五	三十一	六	二	
764		七	五	三十一	十七	二	二十七	二	四十九	十四	四十六	三十二	七	燕鄭侯元年	
763		八	六	三十二	十八	三	楚霄敖元年	三	五十	十五	四十七	三十三	八	二	
762		九	七	三十三	十九	四	二	四	五十一	十六	四十八	三十四	九	三	
761		十	八	三十四	二十	五	三	五	五十二	十七	蔡共侯興元年	三十五	十娶申侯女武姜。	四	
760		十一	九	三十五	二十一	六	四	六	五十三	十八	二	三十六	十一	五	
759		十二	十	三十六	二十二	七	五	七	五十四	十九	蔡戴侯元年	曹穆公元年	十二	六	
758		十三	十一	三十七	二十三	八	六	八	五十五	二十	二	二	十三	七	
757	甲申	十四	十二	三十八	二十四	九	楚蚡冒元年	九	衛莊公楊元年	二十一	三	三	十四生莊公寤生。	八	
756		十五	十三	三十九	二十五	十作鄜畤。	二	十	二	二十二	四	曹桓公終生元年	十五	九	
755		十六	十四	四十	二十六	十一	三	十一	三	二十三	五	二	十六	十	
754		十七	十五	四十一	二十七	十二	四	十二	四	陳文公圉元年生桓公鮑、厲公他。他母蔡女。	六	三	十七生大叔段，母欲立段，公不聽。	十一	
753		十八	十六	四十二	二十八	十三	五	十三	五	二	七	四	十八	十二	
752		十九	十七	四十三	二十九	十四	六	十四	六	三	八	五	十九	十三	
751		二十	十八	四十四	三十	十五	七	十五	七	四	九	六	二十	十四	
750		二十一	十九	四十五	三十一	十六	八	十六	八	五	十	七	二十一	十五	
749		二十二	二十	四十六	三十二	十七	九	十七	九	六	蔡宣侯楷論元年	八	二十二	十六	
748		二十三	二十一	四十七	三十三	十八	十	十八生魯桓公母。	十	七	二	九	二十三	十七	
747	甲午	二十四	二十二	四十八	三十四	十九作祠陳寶。	十一	宋宣公力元年	十一	八	三	十	二十四	十八	
746		二十五	二十三	四十九	三十五	二十	十二	二	十二	九	四	十一	二十五	十九	
745		二十六	二十四	五十	晉昭侯元年封季父成師于曲沃，曲沃大於國，君子譏曰：「晉人亂自曲沃始矣。」	二十一	十三	三	十三	十文公卒。	五	十二	二十六	二十	
744		二十七	二十五	五十一	二	二十二	十四	四	十四	陳桓公元年	六	十三	二十七	二十一	
743		二十八	二十六	五十二	三	二十三	十五	五	十五	二	七	十四	鄭莊公寤生元年祭仲相。	二十二	
742		二十九	二十七	五十三	四	二十四	十六	六	十六	三	八	十五	二	二十三	
741		三十	二十八	五十四	五	二十五	十七	七	十七愛妾子州吁，州吁好兵。	四	九	十六	三	二十四	
740		三十一	二十九	五十五	六	二十六	武王立。	八	十八	五	十	十七	四	二十五	
739		三十二	三十	五十六	潘父殺昭侯，納成師，不克。昭侯子立，是為孝侯。	二十七	二	九	十九	六	十一	十八	五	二十六	
738		三十三	三十一	五十七	二	二十八	三	十	二十	七	十二	十九	六	二十七	
737	甲辰	三十四	三十二	五十八	三	二十九	四	十一	二十一	八	十三	二十	七	二十八	
736		三十五	三十三	五十九	四	三十	五	十二	二十二	九	十四	二十一	八	二十九	
735		三十六	三十四	六十	五	三十一	六	十三	二十三夫人無子，桓公立。	十	十五	二十二	九	三十	
734		三十七	三十五	六十一	六	三十二	七	十四	衛桓公完元年	十一	十六	二十三	十	三十一	
733		三十八	三十六	六十二	七	三十三	八	十五	二弟州吁驕，桓黜之，出奔。	十二	十七	二十四	十一	三十二	
732		三十九	三十七	六十三	八	三十四	九	十六	三	十三	十八	二十五	十二	三十三	
731		四十	三十八	六十四	九曲沃桓叔成師卒，子代立，為莊伯。	三十五	十	十七	四	十四	十九	二十六	十三	三十四	
730		四十一	三十九	齊釐公祿父元年	十	三十六	十一	十八	五	十五	二十	二十七	十四	三十五	
729		四十二	四十	二同母弟夷仲年生公孫毋知也。	十一	三十七	十二	十九公卒，命立弟和，為穆公。	六	十六	二十一	二十八	十五	三十六	
728		四十三	四十一	三	十二	三十八	十三	宋穆公和元年	七	十七	二十二	二十九	十六	燕穆侯元年	
727	甲寅	四十四	四十二	四	十三	三十九	十四	二	八	十八	二十三	三十	十七	二	
726		四十五	四十三	五	十四	四十	十五	三	九	十九	二十四	三十一	十八	三	
725		四十六	四十四	六	十五	四十一	十六	四	十	二十	二十五	三十二	十九	四	
724		四十七	四十五	七	十六曲沃莊伯殺孝侯，晉人立孝侯子卻為鄂侯。	四十二	十七	五	十一	二十一	二十六	三十三	二十	五	
723		四十八	四十六	八	晉鄂侯卻元年曲沃強於晉。	四十三	十八	六	十二	二十二	二十七	三十四	二十一	六	
722		四十九	魯隱公息姑元年母聲子。	九	二	四十四	十九	七	十三	二十三	二十八	三十五	二十二段作亂，奔。	七	
721		五十	二	十	三	四十五	二十	八	十四	二十四	二十九	三十六	二十三公悔，思母不見，穿地相見。	八	
720		五十一	三二月，日蝕。	十一	四	四十六	二十一	九公屬孔父立殤公。馮奔鄭。	十五	二十五	三十	三十七	二十四侵周，取禾。	九	
719		桓王元年	四	十二	五	四十七	二十二	宋殤公與夷元年	十六州吁弒公自立。	二十六衛石碏來告，故執州吁。	三十一	三十八	二十五	十	
718		二使虢公伐晉之曲沃。	五公觀魚于棠，君子譏之。	十三	六鄂侯卒。曲沃莊伯復攻晉。立鄂侯子光為哀侯。	四十八	二十三	二鄭伐我。我伐鄭。	衛宣公晉元年共立之。討州吁。	二十七	三十二	三十九	二十六	十一	
717	甲子	三	六鄭人來渝平。	十四	晉哀侯光元年	四十九	二十四	三	二	二十八	三十三	四十	二十七始朝王，王不禮。	十二	
716		四	七	十五	二莊伯卒，子稱立，為武公。	五十	二十五	四	三	二十九	三十四	四十一	二十八	十三	
715		五	八易許田，君子譏之。	十六	三	秦寧公元年	二十六	五	四	三十	三十五	四十二	二十九與魯祊，易許田。	十四	
714		六	九三月，大雨雹，電。	十七	四	二	二十七	六	五	三十一	蔡桓侯封人元年	四十三	三十	十五	
713		七	十	十八	五	三	二十八	七諸侯敗我。我師與衛人伐鄭。	六	三十二	二	四十四	三十一	十六	
712		八	十一大夫翬請殺桓公，求為相，公不聽，即殺公。	十九	六	四	二十九	八	七	三十三	三	四十五	三十二	十七	
711		九	魯桓公允元年母宋武公女，生手文為魯夫人。	二十	七	五	三十	九	八	三十四	四	四十六	三十三以璧加魯，易許田。	十八	
710		十	二宋賂以鼎，入於太廟，君子譏之。	二十一	八	六	三十一	華督見孔父妻好，悅之。華督殺孔父，及殺殤公。宋公馮元年華督為相。	九	三十五	五	四十七	三十四	燕宣侯元年	
709		十一	三翬迎女，齊侯送女，君子譏之。	二十二	晉小子元年	七	三十二	二	十	三十六	六	四十八	三十五		
708		十二	四	二十三	二	八	三十三	三	十一	三十七	七	四十九	三十六	三	
707	甲戌	十三伐鄭。	五	二十四	三	九	三十四	四	十二	三十八弟他殺太子免。代立，國亂，再赴。	八	五十	三十七伐周，傷王。	四	
706		十四	六	二十五山戎伐我。	曲沃武公殺小子。周伐曲沃，立晉哀侯弟湣為晉侯。晉侯湣元年	十	三十五侵隨，隨為善政，得止。	五	十三	陳厲公他元年	九	五十一	三十八太子忽救齊，齊將妻之。	五	
705		十五	七	二十六	二	十一	三十六	六	十四	二生敬仲完。周史卜完後世王齊。	十	五十二	三十九	六	
704		十六	八	二十七	三	十二	三十七伐隨，弗拔，但盟，罷兵。	七	十五	三	十一	五十三	四十	七	
703		十七	九	二十八	四	秦出子元年	三十八	八	十六	四	十二	五十四	四十一	八	
702		十八	十	二十九	五	二	三十九	九	十七	五	十三	五十五	四十二	九	
701		十九	十一	三十	六	三	四十	十執祭仲。	十八太子伋弟壽爭死。	六	十四	曹莊公射姑元年	四十三	十	
700		二十	十二	三十一	七	四	四十一	十一	十九	七公淫蔡，蔡殺公。	十五	二	鄭厲公突元年	十一	
699		二十一	十三	三十二釐公令毋知秩服如太子。	八	五	四十二	十二	衛惠公朔元年	陳莊公林元年桓公子。	十六	三	二	十二	
698		二十二	十四	三十三	九	六三父殺出子，立其兄武公。	四十三	十三	二	二	十七	四	三諸侯伐我，報宋故。	十三	
697	甲申	二十三	十五天王求車，非禮。	齊襄公諸兒元年貶毋知秩服，毋知怨。	十	秦武公元年伐彭，至華山。	四十四	十四	三朔奔齊，立黔牟。	三	十八	五	四祭仲立忽，公出居櫟。	燕桓侯元年	
696		莊王元年生子穨。	十六公會曹，謀伐鄭。	二	十一	二	四十五	十五	衛黔牟元年	四	十九	六	鄭昭公忽元年忽母鄧女，祭仲取之。	二	
695		二有弟克。	十七日食，不書日，官失之。	三	十二	三	四十六	十六	二	五	二十	七	二渠彌殺昭公。	三	
694		三	十八公與夫人如齊，齊侯通焉，使彭生殺公於車上。	四殺魯桓公，誅彭生。	十三	四	四十七	十七	三	六	蔡哀侯獻舞元年	八	鄭子亹元年齊殺子亹，昭公弟。	四	
693		四周公欲殺王而立子克，王誅周公，克奔燕。	魯莊公同元年	五	十四	五	四十八	十八	四	七	二	九	鄭子嬰元年子亹之弟。	五	
692		五	二	六	十五	六	四十九	十九	五	陳宣公杵臼元年杵臼，莊公弟。	三	十	二	六	
691		六	三	七	十六	七	五十	宋湣公捷元年	六	二	四	十一	三	七	
690		七	四	八伐紀，去其都邑。	十七	八	五十一王伐，隨告夫人心動，王卒軍中。	二	七	三	五	十二	四	燕莊公元年	
689		八	五與齊伐衛，納惠公。	九	十八	九	楚文王貲元年始都郢。	三	八	四	六	十三	五	二	
688		九	六	十	十九	十	二伐申，過鄧，鄧甥曰楚可取，鄧侯不許。	四	九	五	七	十四	六	三	
687	甲午	十	七星隕如雨，與雨偕。	十一	二十	十一	三	五	十齊立惠公，黔牟奔周。	六	八	十五	七	四	
686		十一	八子糾來奔，與管仲俱避毋知亂。	十二毋知殺君自立。	二十一	十二	四	六	衛惠公朔復入。十四年	七	九	十六	八	五	
685		十二	九魯欲與糾入，後小白，齊距魯，使生致管仲。	齊桓公小白元年春，齊殺毋知。	二十二	十三	五	七	十五	八	十	十七	九	六	
684		十三	十齊伐我，為糾故。	二	二十三	十四	六息夫人，陳女，過蔡，蔡不禮，惡之。楚伐蔡，獲哀侯以歸。	八	十六	九	十一楚虜我侯。	十八	十	七	
683		十四	十一臧文仲弔宋水。	三	二十四	十五	七	九宋大水，公自罪。魯使臧文仲來弔。	十七	十	十二	十九	十一	八	
682		十五	十二	四	二十五	十六	八	十萬殺君，仇牧有義。	十八	十一	十三	二十	十二	九	
681		釐王元年	十三曹沫劫桓公。反所亡地。	五與魯人會柯。	二十六	十七	九	宋桓公御說元年莊公子。	十九	十二	十四	二十一	十三	十	
680		二	十四	六	二十七	十八	十	二	二十	十三	十五	二十二	十四	十一	
679		三	十五	七始霸，會諸侯于鄄。	二十八曲沃武公滅晉侯湣，以寶獻周，周命武公為晉君，并其地。	十九	十一	三	二十一	十四	十六	二十三	鄭厲公元年厲公亡後十七歲復入。	十二	
678		四	十六	八	晉武公稱并晉，已立三十八年，不更元，因其元年。	二十葬雍，初以人從死。	十二伐鄧滅之。	四	二十二	十五	十七	二十四	二諸侯伐我。	十三	
677	甲辰	五	十七	九	三十九武公卒，子詭諸立，為獻公。	秦德公元年武公弟。	十三	五	二十三	十六	十八	二十五	三	十四	
676		惠王元年取陳后。	十八	十	晉獻公詭諸元年	二初作伏，祠社，磔狗邑四門。	楚堵敖谡元年	六	二十四	十七	十九	二十六	四	十五	
675		二燕、衛伐王，王奔溫，立子穨。	十九	十一	二	秦宣公元年	二	七取衛女。文公弟。	二十五	十八	二十	二十七	五	十六伐王，王奔溫，立子穨。	
674		三	二十	十二	三	二	三	八	二十六	十九	蔡穆侯肸元年	二十八	六	十七鄭執我仲父。	
673		四誅穨，入惠王。	二十一	十三	四	三	四	九	二十七	二十	二	二十九	七救周亂，入王。	十八	
672		五太子母早死。惠后生叔帶。	二十二	十四陳完自陳來奔，田常始此也。	五伐驪戎，得姬。	四作密畤。	五弟惲殺堵敖自立。	十	二十八	二十一厲公子完奔齊。	三	三十	鄭文公捷元年	十九	
671		六	二十三公如齊觀社。	十五	六	五	楚成王惲元年	十一	二十九	二十二	四	三十一	二	二十	
670		七	二十四	十六	七	六	二	十二	三十	二十三	五	曹釐公夷元年	三	二十一	
669		八	二十五	十七	八盡殺故晉侯群公子。	七	三	十三	三十一	二十四	六	二	四	二十二	
668		九	二十六	十八	九始城絳都。	八	四	十四	衛懿公赤元年	二十五	七	三	五	二十三	
667	甲寅	十賜齊侯命。	二十七	十九	十	九	五	十五	二	二十六	八	四	六	二十四	
666		十一	二十八	二十	十一	十	六	十六	三	二十七	九	五	七	二十五	
665		十二	二十九	二十一	十二太子申生居曲沃，重耳居蒲城，夷吾居屈。驪姬故。	十一	七	十七	四	二十八	十	六	八	二十六	
664		十三	三十	二十二	十三	十二	八	十八	五	二十九	十一	七	九	二十七	
663		十四	三十一	二十三伐山戎，為燕也。	十四	秦成公元年	九	十九	六	三十	十二	八	十	二十八	
662		十五	三十二莊公弟叔牙鴆死。慶父弒子般。季友奔陳，立湣公。	二十四	十五	二	十	二十	七	三十一	十三	九	十一	二十九	
661		十六	魯湣公開元年	二十五	十六滅魏、耿、霍。始封趙夙耿，畢萬魏，始此。	三	十一	二十一	八	三十二	十四	曹昭公元年	十二	三十	
660		十七	二慶父殺湣公。季友自陳立申，為釐公。殺慶父。	二十六	十七申生將軍，君子知其廢。	四	十二	二十二	翟伐我。公好鶴，士不戰，滅我國。國怨，惠公亂，滅其後，更立黔牟弟。衛戴公元年	三十三	十五	二	十三	三十一	
659		十八	魯釐公申元年哀姜喪自齊至。	二十七殺女弟魯莊公夫人，淫故。	十八	秦穆公任好元年	十三	二十三	衛文公燬元年戴公弟也。	三十四	十六	三	十四	三十二	
658		十九	二	二十八為衛築楚丘。救戎狄伐。	十九荀息以幣假道于虞以伐虢，滅下陽。	二	十四	二十四	二齊桓公率諸侯為我城楚丘。	三十五	十七	四	十五	三十三	
657	甲子	二十	三	二十九與蔡姬共舟，蕩公，公怒，歸蔡姬。	二十	三	十五	二十五	三	三十六	十八以女故，齊伐我。	五	十六	燕襄公元年	
656		二十一	四	三十率諸侯伐蔡，蔡潰，遂伐楚，責包茅貢。	二十一申生以驪姬讒自殺。重耳奔蒲，夷吾奔屈。	四迎婦于晉。	十六齊伐我，至陘，使屈完盟。	二十六	四	三十七	十九	六	十七	二	
655		二十二	五	三十一	二十二滅虞、虢。重耳奔狄。	五	十七	二十七	五	三十八	二十	七	十八	三	
654		二十三	六	三十二率諸侯伐鄭。	二十三夷吾奔梁。	六	十八伐許，許君肉袒謝，楚從之。	二十八	六	三十九	二十一	八	十九	四	
653		二十四	七	三十三	二十四	七	十九	二十九	七	四十	二十二	九	二十	五	
652		二十五襄王立，畏太叔。	八	三十四	二十五伐翟，以重耳故。	八	二十	三十公疾，太子茲父讓兄目夷賢，公不聽。	八	四十一	二十三	曹共公元年	二十一	六	
651		襄王元年諸侯立王。	九齊率我伐晉亂，至高梁還。	三十五夏，會諸侯于葵丘。天子使宰孔賜胙，命無拜。	二十六公卒，立奚齊，里克殺之。及卓子。立夷吾。	九夷吾使郤芮賂，求入。	二十一	三十一公薨，未葬，齊桓會葵丘。	九	四十二	二十四	二	二十二	七	
650		二	十	三十六使隰朋立晉惠公。	晉惠公夷吾元年誅里克，倍秦約。	十丕鄭子豹亡來。	二十二	宋襄公茲父元年目夷相。	十	四十三	二十五	三	二十三	八	
649		三戎伐我，太叔帶召之。欲誅叔帶，叔帶奔齊。	十一	三十七	二	十一救王伐戎，戎去。	二十三伐黃。	二	十一	四十四	二十六	四	二十四有妾夢天與之蘭，生穆公蘭。	九	
648		四	十二	三十八使管仲平戎于周，欲以上卿禮，讓，受下卿。	三	十二	二十四	三	十二	四十五	二十七	五	二十五	十	
647	甲戌	五	十三	三十九使仲孫請王，言叔帶，王怒。	四饑，請粟，秦與我。	十三丕豹欲無與，公不聽，輸晉粟，起雍至絳。	二十五	四	十三	陳穆公款元年	二十八	六	二十六	十一	
646		六	十四	四十	五秦饑，請粟，晉倍之。	十四	二十六滅六、英。	五	十四	二	二十九	七	二十七	十二	
645		七	十五五月，日有食之。不書，史官失之。	四十一	六秦虜惠公，復立之。	十五以盜食善馬士得破晉。	二十七	六	十五	三	蔡莊侯甲午元年	八	二十八	十三	
644		八	十六	四十二王以戎寇告齊，齊徵諸侯戍周。	七重耳聞管仲死，去翟之齊。	十六為河東置官司。	二十八	七隕五石。六鷁退飛，過我都。	十六	四	二	九	二十九	十四	
643		九	十七	四十三	八	十七	二十九	八	十七	五	三	十	三十	十五	
642		十	十八	齊孝公昭元年	九	十八	三十	九	十八	六	四	十一	三十一	十六	
641		十一	十九	二	十	十九滅梁。梁好城，不居，民罷，相驚，故亡。	三十一	十	十九	七	五	十二	三十二	十七	
640		十二	二十	三	十一	二十	三十二	十一	二十	八	六	十三	三十三	十八	
639		十三	二十一	四	十二	二十一	三十三執宋襄公，復歸之。	十二召楚盟。	二十一	九	七	十四	三十四	十九	
638		十四叔帶復歸於周。	二十二	五歸王弟帶。	十三太子圉質秦亡歸。	二十二	三十四	十三泓之戰，楚敗公。

二十二	十	八	十五	三十五君如楚，宋伐我。	二十	
