表第五 方鎮表二
西元		滑衛	河南	鄭陳	淮南西道	徐海沂密	青密	北都
815	十年							
816	十一年				彰義軍節度增領唐、隋、鄧三州，尋以三州別置節度使。			
817	十二年			忠武節度增領溵州。	彰義軍節度復為淮西節度，增領溵州，未幾，以溵州隸忠武軍節度。			
818	十三年			忠武軍節度增領蔡州。	廢淮西節度。			
819	十四年						淄青平盧節度使領青、淄、齊、登、萊五州，復治青州。置鄆曹濮節度使，治鄆州。置沂海觀察使，領沂、海、兗、密四州，治沂州。	
820	十五年						賜鄆曹濮節度使號天平軍節度使。	
821	長慶元年					宿州隸淮南節度。	升沂海觀察使為節度使，徙治兗州。	河東節度使領押北山諸蕃使。
822	二年	義成軍節度使復領潁州。		省�州。				
823	三年							
824	四年							
825	寶曆元年							
826	二年							
827	大和元年						齊州隸橫海節度。	
828	二年						淄青平盧節度增領棣州。	
829	三年							
830	四年							
831	五年							
832	六年							
833	七年					宿州復隸武寧節度。		
834	八年					廢沂海節度使為觀察使。		
835	九年							
836	開成元年							
837	二年							
838	三年							
839	四年							
840	五年							
841	會昌元年							
842	二年							
843	三年							河東節度使罷領雲、朔、蔚三州，以雲、蔚、朔三州置大同都團練使，治雲州。
844	四年							升大同都團練使為大同都防禦使。
845	五年							
846	六年							
847	大中元年							
848	二年				置蔡州防禦使、龍陂監牧使。			
849	三年							
850	四年							
851	五年						升沂海觀察使為節度使。	
852	六年							
853	七年							
854	八年							
855	九年							
856	十年							
857	十一年							
858	十二年							
859	十三年							
860	咸通元年							
861	二年							
862	三年					罷武寧軍節度。置徐州團練防禦使，隸兗海。又置宿、泗等州都團練觀察處置使，治宿州。	沂海節度使增領徐州。	
863	四年					罷徐州防禦使，以濠州隸淮南節度。		
864	五年					置徐泗團練觀察處置使，治徐州。	天平軍節度增領齊、棣二州。
沂海節度使罷領徐州。

865	六年							
866	七年							
867	八年							
868	九年							
869	十年					置徐泗節度使。是年，復置都團練防禦使，增領濠、宿二州。		
870	十一年					置徐泗觀察使，尋賜號感化軍節度使。		
871	十二年							
872	十三年						淄青平盧節度復領齊、棣二州。	
873	十四年							
874	乾符元年							
875	二年					感化軍節度罷領泗州。		
876	三年							
877	四年							
878	五年							升大同都防禦使為節度使。
879	六年							
880	廣明元年							
881	中和元年							
882	二年			蔡州置奉國軍節度。	升蔡州防禦使為奉國軍節度。			河東節度增領麟州，以忻、代二州隸鴈門節度。更大同節度為鴈門節度，領左神策軍、天寧鎮遏觀察使，徙治代州。
883	三年							賜鴈門節度為代北節度。
884	四年							河東節度復領雲、蔚二州。
885	光啟元年							
886	二年	義成軍節度使改為宣義軍節度使，朱全忠請改，以避其父名。						
887	三年							
888	文德元年							
889	龍紀元年							河東節度增領憲州。
890	大順元年							
891	二年							
892	景福元年							
893	二年							
894	乾寧元年			忠武軍節度增領汝州。				
895	二年						析齊州置武肅軍防禦使。	
896	三年							
897	四年				奉國軍節度增領申、和二州。		賜沂海節度使為泰寧軍節度使。	
898	光化元年					感化軍節度復為武寧軍節度，未幾，復為感化軍節度。		
899	二年							
900	三年			汝州隸東都。				
901	天復元年						罷武肅軍防禦使。	
902	二年					罷感化軍節度。		
903	三年							
904	天祐元年							
905	二年							
906	三年							
907	四年							
	本北宋作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。


Chinese text: This work was published before January 1, 1923, and is in the
public domain worldwide because the author died at least 100 years ago.
