
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1248	八年戊申	九月庚午，太傅、右丞相、兼樞密使、越國公鄭清之以明堂禮成，加食邑一千戶，食實封四百戶。 鄭清之	　	五月己巳，趙葵自樞密使、兼參知政事、督視江淮京西湖北軍馬兼知建康軍府事特授宣奉大夫，依前樞密使、兼參知政事、督視江淮京西湖北軍馬兼知建康府事，兼管內勸農使兼行宮留守、江南東路安撫使馬步軍都總管、長沙郡開國公，加封邑。七月辛亥，王伯大自簽書樞密院事除參知政事。應〈亻繇〉自翰林學士、中奉大夫除同知樞密院事。謝方叔自朝散大夫、試給事中除端明殿學士、簽書樞密院事。史宅之自正奉大夫、守吏部尚書除端明殿學士、同簽書樞密院事。九月庚午，樞密使、兼參知政事、督視江淮京西湖北軍馬趙葵以明堂禮成，加食邑一千戶，食實邑四百戶。十月乙亥，應〈亻繇〉、謝方叔並兼參知政事。	七月癸酉，王伯大以資政殿學士知建寧府。十月甲戌，參知政事別之傑乞歸田裡，乙亥，除資政殿大學士、知紹興府。
1249	九年己酉	閏二月甲辰，鄭清之自太傅、右丞相兼樞密使、越國公特授太師左丞相兼樞密使，進封魏國公，加封邑。趙葵自樞密使、兼參知政事特授金紫光祿大夫、右丞相兼樞密使，加封邑。 鄭清之 趙葵	正月己巳，前左丞相范鍾薨。	閏二月甲辰，應〈亻繇〉、謝方叔並參知政事。史宅之自同簽書樞密院事除同知樞密院事。十二月乙巳，吳潛自同簽書樞密院事除同知樞密院事兼參知政事。徐清叟自朝請大夫、試禮部尚書除同知樞密院事兼參知政事。	正月丁卯，前簽書樞密院事許應龍卒。閏二月甲辰，陳韡以觀文殿學士、福建安撫大使知福州。吳淵以端明殿學士、沿江制置使、江東安撫使兼知建康府兼行宮留守。五月甲午，前同簽書樞密院事鄭寀卒。十一月庚辰，參知政事應〈亻繇〉乞歸田裡，除資政殿學士、知平江府。十二月壬子，同知樞密院事史宅之卒。
1250	十年庚戌	鄭清之 趙葵	三月戊子，右丞相兼樞密使趙葵辭相位，特授觀文殿大學士、充醴泉觀使、兼侍讀，仍奉朝請，依前金紫光祿大夫，封邑如故，十一月壬申，加特進，依舊觀文殿大學士，判潭州、湖南安撫大使，戊寅，進封信國公，加封邑。	三月庚寅，賈似道除端明學士、兩淮制置大使、淮東安撫使、知揚州。五月丙寅，吳淵除資政殿學士，依舊職任，與執政恩數。五月，吳潛自同知樞密院事除資政殿學士，帥沿江。	
1251	十一年辛亥	四月己酉，鄭清之依前太傅、左丞相兼樞密使兼修國史日曆、魏國公，加封邑。十月戊戌，再加封邑，十一月甲辰，進封齊國公。十一月甲寅，謝方叔自知樞密院事授正奉大夫，除左丞相兼樞密使，依前永康郡開國公，加封邑。 吳潛自參知政事授宣奉太夫、右丞相兼樞密使，依前金陵郡開國公，加封邑。 鄭清之 謝方叔 吳潛	十一月庚戌，太傅、左丞相、齊國公鄭清之薨。	三月戊寅，謝方叔自中大夫、參知政事除知樞密院事兼參知政事。吳潛自太中大夫、同知樞密院事除參知政事。徐清叟自朝請大夫、簽書樞密院事除中大夫、同知樞密院事。四月己酉，謝方叔特授通議大夫，依前知樞密院事兼參知政事、永康郡開國公。十月丁酉，謝方叔除通議大夫、知樞密院事兼參知政事、永康郡開國公。十二月丙辰，董槐召除簽書樞密院事。	　
1252	十二年壬子	謝方叔 吳潛	十一月庚寅，右丞相吳潛罷，十二月乙卯，除觀文殿大學士、提舉江州太平興國宮。	十月癸丑，徐清叟自同知樞密院事除參知政事。董槐自簽書樞密院事除同知樞密院事。	
1253	寶祐元年癸丑	謝方叔	　	七月庚子，董槐自同知樞密院事除兼權參知政事。	三月丙申，前參知政事別之傑卒，四月戊申，贈少師。七月壬午，前參知政事王伯大卒。十二月，前參知政事劉伯正卒。
1254	二年甲寅	九月戊辰，左丞相謝方叔以明堂禮成加封邑，十月丙戌，特授銀青光祿大夫，加封邑，尋授金紫光祿大夫，進封惠國公，再加封邑。 謝方叔	十一月甲寅，趙葵依前特進、觀文殿大學士、充醴泉觀使，免奉朝請，信國公、加封邑。吳潛依前觀文殿大學士、宣奉大夫、提舉臨安府洞霄宮、金陵郡開國公，加封邑。	五月乙丑，徐清叟自參知政事除知樞密院事兼參知政事。董槐自同知樞密院事除參知政事。李曾伯除參知政事，帥蜀郡。賈似道除銀青光祿大夫、同知樞密院事、兩淮制置大使兼淮南東西路安撫使、知揚州軍州事兼管內勸農營田屯田等使、臨海郡開國公，加封邑。十月丙戌，徐清叟特授正議大夫，依前知樞密院事兼參知政事、普寧郡開國公，加封邑。董槐特授通奉大夫，依前參知政事、定遠郡開國公，加封邑。癸巳，賈似道詔依前官職任，再加封邑。	
1255	三年乙卯	八月乙丑，董槐自通奉大夫、參知政事特授宣奉大夫、右丞相兼樞密使，依前濠梁郡開國公，加封邑。 謝方叔 董槐	四月甲戌，趙葵依前特進、觀文殿大學士、信國公特授荊湖南路安撫大使、判潭州事。七月丙辰，左丞相謝方叔為朱應元所劾，八月乙丑罷，特授觀文殿大學士、提舉臨安府洞霄宮，依前金紫光祿大夫、惠國公，封邑如故。景定二年七月戊寅，以常挺言追奪合得恩數。八月辛未，趙葵依舊官除沿江制置使，八月戊子，依前特進、觀文殿大學士、醴泉觀使、信國公，免奉朝請。	三月辛巳，吳淵兼夔路策應大使。六月丙子，王埜自通奉大夫、守禮部尚書除端明殿學士、簽書樞密院事。程元鳳自中大夫、權工部尚書除端明殿學士、同簽書樞密院事。賈似道自銀青光祿大夫、同知樞密院事特授金紫光祿大夫，加封邑。八月乙丑，程元鳳依舊端明殿學士，除簽書樞密院事。蔡抗自太中大夫、守尚書工部侍郎除端明殿學士、同簽書樞密院事。吳淵依舊官兼京湖屯田大使。	七月丙辰，知樞密院事徐清叟為朱應元所劾，八月乙丑，除資政殿大學士、提舉隆興府玉隆萬壽宮，九月丙午，依舊官提舉臨安府洞霄宮。六月辛卯，王埜罷簽書樞密院事。八月丙子，前知樞密院事鄭性之兼參知政事卒。庚寅，應〈亻繇〉為丁大全所劾，落職罷祠，勒令致仕，辛卯卒。
1256	四年丙辰	七月乙卯，程元鳳自參知政事特授通奉大夫、右丞相兼樞密使，進封新安郡開國公，加封邑。 董槐 程元鳳	六月癸未，右丞相董槐為丁大全所劾，詔程元鳳、蔡抗時暫輪日當筆。七月癸巳，董槐特授觀文殿大學士、提舉臨安府洞霄宮，景定二年正月己卯，依前觀文殿大學士、宣奉大夫、福建路安撫大使、濠梁郡開國公致仕。	四月癸未，賈似道自同知樞密院事除參知政事，依舊兩淮制置大使兼淮東西安撫使兼知揚州。程元鳳自簽書樞密院事除參知政事。蔡抗自同簽書樞密院事除同知樞密院事，七月乙卯，除參知政事。張磻自權刑部尚書除端明殿學士、簽書樞密院事，十一月癸丑，除同知樞密院事。丁大全自侍御史兼侍讀除端明殿學士、簽書樞密院事。馬天驥自中奉大夫、試尚書禮部侍郎除同簽書樞密院事。	四月己丑，徐清叟、王埜並褫職罷祠。十二月庚申，參知政事蔡抗擅自去國，為林存所劾，罷職予祠。
1257	五年丁巳	程元鳳	正月丁亥，趙葵除少保、寧遠軍節度使、京湖宣撫大使、判江陵府兼夔路策應大使，丁酉，進封衞國公，加封邑，二月辛酉，兼湖廣總領。	正月丁亥，賈似道自金紫光祿大夫、參知政事除知樞密院事依舊兩淮制置大使、兼兩淮宣撫使兼知揚州。吳淵自觀文殿學士、正奉大夫除參知政事。二月戊午，賈似道除兼兩淮安撫制置大使。八月庚子，張磻自同知樞密院事除參知政事。丁大全自簽書樞密院事進同知樞密院事兼權參知政事。十月丁酉，林存自試尚書吏部侍郎除端明殿學士、簽書樞密院事。	正月甲辰，吳淵特授光祿大夫、守參知政事致仕，辛亥卒。十月己丑，張磻特轉三官，守參知政事致仕，明日卒。
1258	六年戊午	四月丁未，丁大全自參知政事特授正奉大夫、右丞相兼樞密使，依舊丹陽郡開國公，加封邑。 程元鳳 丁大全	二月辛巳，趙葵依舊少保、寧遠軍節度使、判福州、兼福建路安撫大使、馬步軍都總管，四月甲辰，依舊少保、寧遠軍節度使、衞國公除醴泉觀使兼侍讀。 四月甲辰，右丞相程元鳳辭職，詔丁大全、林存時暫輪日當筆。丁未，元鳳特授觀文殿大學士、判福州、福建安撫大使，依前金紫光祿大夫、新安郡開國公、封邑如故。六月乙未，程元鳳辭免觀文殿大學士、判福州，詔仍前觀文殿大學士、提舉臨安府洞霄宮。	正月辛亥，丁大全自同知樞密院事除參知政事兼同知樞密院事。林存自簽書樞密院事除兼權參知政事。四月丁未，林存除同知樞密院事兼權參知政事。朱熠端明殿學士、簽書樞密院事，十一月壬戌，進同知樞密院事兼權參知政事。饒虎臣自尚書禮部侍郎除端明殿學士、簽書樞密院事。賈似道自知樞密院事進樞密使、兩淮宣撫大使。辛未，朱熠仍舊職，特授中大夫。	十一月丁巳，林存以資政殿學士知建寧府。
1259	開慶元年己未	十月壬申，吳潛自銀青光祿大夫、醴泉觀使、兼侍讀、崇國公、特進、左丞相兼樞密使，進封相國公，加封邑，丙子，改封慶國公。賈似道自金紫光祿大夫、樞密使授特進、右丞相兼樞密使，依前京西湖南北四川宣撫大使、都大提舉兩淮兵甲、總領湖廣江西京西財賦、湖北京西軍馬錢糧、專一報發御前軍馬文字、兼提領措置屯田、判江陵軍府事兼管內勸農營田使，進封茂國公，加封邑。十二月壬子，吳潛改封許國公，賈似道改封肅國公。 丁大全 吳潛 賈似道	九月辛酉，趙葵依舊特進、觀文殿大學士、衞國公、判慶元府、沿海制置大使。十月壬申，丁大全罷右丞相，授觀文殿大學士、光祿大夫、判鎮江府，依前丹陽郡開國公，加封邑。景定三年七月戊寅，以常挺言，責授彰州團練副使，貴州安置。癸酉，趙葵依前特進，觀文殿大學士特授沿江江東宣撫大使，置司建康府，任責隆興府饒州江州徽州兩界防拓調遣，時暫兼判建康府、行宮留守、衞國公。八月戊子，吳潛依舊觀文殿大學士、判寧國府、特進、崇國公，九月丙寅，依前觀文殿大學士、銀青光祿大夫，特授醴泉觀使、兼侍讀、崇國公。	正月丁卯，賈似道依前金紫光祿大夫、樞密使改除京西湖南北四川宣撫大使、都大提舉兩淮兵甲、總領湖廣京西財賦湖北京西軍馬錢糧、專一報發御前軍馬文字、兼提領措置屯田兼知江陵軍府事兼管內勸農營田使、臨海郡開國公，封邑如故。六月辛巳，朱熠自同知樞密院事除參知政事。饒虎臣自簽書樞密院事除同知樞密院事。九月庚申，戴慶炣除端明殿學士、簽書樞密院事。十一月壬寅，朱熠自參知政事除兼權知樞密院事。饒虎臣、戴慶炣並兼權參知政事。	正月乙丑，林存以資政殿學士知建寧府，二月丁亥，依舊資政殿學士、提舉臨安府洞霄宮。七月庚戌，蔡抗自參知政事致仕，癸亥卒。
1260	景定元年庚申	四月癸丑，賈似道特授少師，依前右丞相兼樞密使，進封衞國公，加封邑，七月庚寅，兼太子少師。 吳潛 賈似道	四月己酉，吳潛罷右相，除觀文殿大學士、提舉臨安府洞霄宮。五月戊辰，趙葵依舊少保，除兩淮宣撫大使、判揚州，進封魯國公。八月壬寅，程元鳳依舊觀文殿大學士，除淮浙發運使、判平江府，明年十一月己未，授特進、醴泉觀使兼侍讀，依前觀文殿大學士、新安郡開國公，封邑如故。	四月癸丑，朱熠自兼權知樞密院事除知樞密院事兼參知政事。饒虎臣自兼權參知政事除參知政事。戴慶炣自兼權參知政事除同知樞密院事兼參知政事。皮龍榮除端明殿學士、簽書樞密院事。五月癸未，皮龍榮自簽書樞密院事除兼權參知政事。沈炎除端明殿學士、同簽書樞密院事。	五月戊辰，饒虎臣罷參知政事，戊子，以資政殿學士提舉臨安府洞霄宮。八月庚辰，前參知政事戴慶炣卒。六月戊申，前簽書王埜卒。九月甲午，厲文翁依舊端明殿學士、提舉臨安府洞霄宮。
1261	二年辛酉	正月己卯，賈似道自太保、右丞相以進書加太傅。 賈似道	　	三月癸未，知樞密院事朱熠、簽書樞密院事皮龍榮、同簽書樞密院事沈炎以進書各轉兩官。四月乙未，皮龍榮自簽書樞密院事除參知政事。沈炎自同簽書樞密院事除同知樞密院事兼權參知政事。何夢然自試右諫議大夫除簽書樞密院事。八月乙巳，江萬里自通奉大夫、守吏部尚書除端明殿學士、同簽書樞密院事。十月丙午，何夢然自簽書樞密院事授中大夫，除同知樞密院事兼參知政事。十二月甲午，皮龍榮自參知政事除兼權知樞密院事。何夢然自同簽書樞密院事除參知政事。馬光祖自觀文殿學士除同知樞密院事，依舊兼提領戶部財用兼知臨安府、浙西安撫使兼太子賓客。	三月戊子，朱熠罷知樞密院事，以觀文殿學士知建寧府。七月壬申，福建安撫大使陳韡卒。十月丙辰，沈炎除資政殿學士、提舉臨安府洞霄宮。十二月壬辰，江萬里為光純父所劾，壬寅，依舊端明殿學士、提舉臨安府洞霄宮。
1262	三年壬戌	賈似道	六月己亥，董槐依舊觀文殿大學士除特進致仕。	三月乙丑，孫附鳳自右諫議大夫兼侍講除簽書樞密院事兼太子賓客，六月庚寅，除兼權參知政事。楊棟自通奉大夫、試禮部尚書除端明殿學士、同簽書樞密院事兼太子賓客。十月甲子，楊棟依舊端明殿學士除簽書樞密院事兼權參知政事、兼太子賓客。葉夢鼎自試吏部尚書除端明殿學士、同簽書樞密院事兼太子賓客。	二月，皮龍榮自知樞密院事以資政殿學士為湖南安撫使。九月戊辰，資政殿學士沈炎薨。十月辛未，徐清叟授宣奉大夫、守觀文殿學士致仕，十一月丙申卒。
1263	四年癸亥	賈似道	　	三月庚子，何夢然自參知政事除兼權知樞密院事，九月甲午，除知樞密院事兼參知政事。楊棟自簽書樞密院事除同知樞密院事兼權參知政事。葉夢鼎自同簽書樞密院事除簽書樞密院事。	六月丁巳，馬光祖依舊觀文殿學士、提舉臨安府洞霄宮。
1264	五年甲子度宗十月丁卯即位	賈似道	　	五月辛卯，楊棟自同知樞密院事除參知政事。葉夢鼎自簽書樞密院事除同知樞密院事兼權參知政事。姚希得除簽書樞密院事並兼太子賓客，八月乙丑，除權參知政事。十一月乙未，葉夢鼎自同知樞密院事除參知政事。姚希得自簽書進同知樞密院事兼參知政事。	
1265	咸淳元年乙丑	四月甲寅，賈似道除太師，依舊右丞相兼樞密使、魏國公。 賈似道	三月壬午，太傅、右丞相、兼樞密使、魏國公賈似道為理宗欑宮總護使，五月丙戌，依前太師除鎮東軍節度使充侍讀、魏國公，仍奉朝請。	正月癸巳，姚希得自正議大夫特授光祿大夫，依前同知樞密院事兼權參知政事。葉夢鼎自宣奉大夫特授銀青光祿大夫，依前參知政事。二月丁未，姚希得自同知樞密院事除參知政事。江萬里自簽書樞密院事進同知樞密院事。戊申，楊棟依舊職知慶元府兼沿海制置使。壬戌，王爚依舊端明殿學士除簽書樞密院事。閏五月癸丑，江萬里自同知樞密院事除參知政事。王爚自簽書樞密院事進同知樞密院事兼權參知政事。馬廷鸞自權禮部尚書除端明殿學士、簽書樞密院事。十月壬午，楊棟詔復元官。十一月辛丑，留夢炎自權禮部尚書除端明殿學士、簽書樞密院事。	正月丁丑，皮龍榮、楊棟並依舊職提舉臨安府洞霄宮。
1266	二年丙寅	賈似道	十一月己亥，趙葵自觀文殿大學士除少師、武安軍節度使致仕。	五月甲寅，王爚自同知樞密院事除參知政事。留夢炎自簽書樞密院事進同知樞密院事。包恢自守刑部尚書除端明殿學士、簽書樞密院事。	正月癸丑，江萬里乞祠，除湖南安撫使兼知潭州。四月壬午，姚希得以資政殿學士提舉臨安府洞霄宮。丁亥，王爚以病免同知樞密院事。
