
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1051	三年辛卯	十月庚子，龐籍自樞密使、檢校太傅依前戶部侍郎加同平章事、昭文館大學士、監修國史兼譯經使。 文彥博 宋庠龐籍	先是，包拯、吳奎等言宋庠無所建明，三月庚申，庠以行刑部尚書、觀文殿大學士出知河南府。十一月庚子，文彥博自吏部侍郎、同平章事以行吏部尚書、觀文殿學士出知許州。	三月庚申，劉沆自龍圖閣學士、工部侍郎、權知開封府除參知政事。十月庚子，高若訥自戶部侍郎、參知政事除檢校太傅、樞密使。辛丑，梁適自樞密副使、給事中除參知政事。王堯臣自給事中、翰林學士承旨除樞密副使。	　
1052	四年壬辰	龐籍	　	先是，樞密使王貽永以疾求罷，五月丁未，聽解侍中，為同平章事，依前樞密使。六月丁亥，狄青自彰化軍節度使、知延州除檢校司空、樞密副使，王舉正、賈黯皆論其不可，不聽。九月庚午，青宣徽南院使、荊湖北路宣撫使、都大提舉廣南東西路經制盜賊事，辛未，詔宣撫回日，依前樞密副使。	　
1053	五年癸巳	七月壬申，陳執中自集慶軍節度使、判大名府加行吏部尚書、同平章事、昭文館大學士、監修國史兼譯經潤文使。梁適自參知政事加禮部侍郎、同平章事、集賢殿大學士。 龐籍 陳執中 梁適	龐籍甥與堂吏受賕，諫官韓絳論之，七月壬申，籍依前戶部侍郎、同平章事以京東西路安撫使出知鄆州。	二月癸未，狄青以宣徽南院使復為樞密副使。五月乙巳，狄青自樞密副使、護國軍節度使、檢校太尉、河中尹兼御史大夫仍守前官除樞密使。丁未，孫沔自樞密直學士、給事中、知杭州除樞密副使。	五月乙巳，高若訥自戶部侍郎、樞密使以尚書左丞、觀文殿學士兼厩牧制置使免。
1054	至和元年甲午	八月丙午，劉沆自參知政事依前工部侍郎加同平章事、集賢殿大學士。 陳執中 梁適 劉沆	七月丁卯，中丞孫抃等劾梁適，戊辰，適罷，守本官出知鄭州，尋加觀文殿大學士、知秦州。	二月壬戌，田况自三司使、禮部侍郎除樞密副使。三月己巳，王德用自檢校太師、同平章事兼羣牧制置使、判鄭州、冀國公，仍守前官除樞密使兼河陽三城節度使。七月丁卯，程戡自端明殿學士、給事中、知益州除參知政事。	二月壬戌，孫沔自樞密副使以資政殿學士出知杭州。三月己巳，王貽永自樞密使依前檢校太師，以行尚書右僕射兼侍中、鄧國公、景靈宮使領彰德軍節度使。
1055	二年乙未	六月戊戌，文彥博自忠武軍節度使、檢校太尉兼知永興軍加禮部尚書、同平章事、昭文館大學士兼譯經潤文使。富弼自宣徽南院使、檢校太保、判幷州加戶部侍郎、同平章事、集賢殿大學士。劉沆自工部侍郎、同平章事加兵部侍郎、監修國史。 陳執中 劉沆 文彥博 富弼	六月戊戌，行吏部尚書、同平章事陳執中以檢校太尉、同平章事、鎮海軍節度判亳州。	　	　
1056	嘉祐元年丙申	十二月壬戌，文彥博自禮部尚書、同平章事加監修國史。 劉沆 文彥博 富弼	中丞張昪等論劉沆疏十七上，十二月壬子，沆以行工部尚書、觀文殿大學士出知應天府。	閏三月癸未，王堯臣自樞密副使、給事中除戶部侍郎、參知政事。程戡自給事中、參知政事除戶部侍郎、樞密副使。八月癸亥，韓琦自三司使加檢校少傅，依前行工部尚書、樞密使。十一月辛巳，賈昌朝自山南東道節度使、檢校太師兼侍中、判大名府兼北京留守、許國公，仍守前官除樞密使、襄州觀察使。十二月壬子，曾公亮自翰林學士、權知開封府除給事中、參知政事。	八月癸亥，狄青自樞密使依前檢校太尉，以同平章事、護國軍節度使判陳州。十一月辛巳，王德用自樞密使依前檢校太師，以同平章事、景靈宮使領忠武軍節度使。十二月壬戌，樞密使賈昌朝辭兼侍中。
1057	二年丁酉	文彥博 富弼	　	　	　
1058	三年戊戌	六月丙午，富弼自戶部侍郎、同平章事加禮部侍郎、昭文館大學士、監修國史兼譯經潤文使。韓琦自樞密使、工部尚書依前官加同平章事、集賢殿大學士。 文彥博 富弼 韓琦	六月丙午，文彥博自檢校太師、同平章事以河陽三城節度使判河南府兼西京留守。	六月丙午，宋庠自觀文殿大學士依前行兵部尚書、同平章事兼厩牧制置使、樞密使。田况自樞密副使、禮部侍郎、檢校太傅除樞密使。張昪自右諫議大夫、權御史中丞除樞密副使。	六月丙午，賈昌朝自樞密使以行尚書左僕射、檢校太師兼侍中、景靈宮使領鎮安軍節度使。八月己未，參知政事王堯臣卒。
1059	四年己亥	富弼 韓琦	　	　	五月丙辰，田况自樞密使以尚書右丞、觀文殿學士兼翰林侍讀學士提舉景靈宮事。
1060	五年庚子	富弼 韓琦	　	四月癸未，孫抃自翰林學士承旨兼侍讀學士、禮部侍郎除樞密副使。十一月辛丑，曾公亮自參知政事、檢校太傅依前禮部侍郎除樞密副使。張昪自樞密副使、右諫議大夫，孫抃自禮部侍郎、樞密副使，並除參知政事。歐陽修自翰林學士兼侍讀學士、禮部侍郎、知制誥、史館修撰，陳旭自樞密直學士、右諫議大夫，趙槩自御史中丞、加禮部侍郎，並除樞密副使。旭後改名升之。	四月癸未，程戡自樞密副使以禮部侍郎、觀文殿學士兼翰林侍讀學士、同厩牧制置使免。十一月辛丑，宋庠自檢校太尉、行兵部尚書、同平章事兼羣牧制置使、莒國公、樞密使以河陽三城節度使、同平章事判鄭州。
1061	六年辛丑	六月甲戌，富弼起復以前官同平章事，固辭。閏八月庚子，韓琦自工部尚書、同平章事加昭文館大學士、監修國史。曾公亮自樞密副使、檢校太傅兼羣牧制置使、行吏部侍郎加同平章事、集賢殿大學士。 韓琦 曾公亮	三月己亥，禮部侍郎、同平章事富弼丁母憂。	四月庚辰，包拯自三司使、給事中除樞密副使。閏八月庚子，張昪自右諫議大夫、參知政事加檢校太傅、行工部侍郎，除樞密使。歐陽修自禮部侍郎、樞密副使除參知政事。胡宿自翰林學士兼端明殿學士、翰林學士、左司郎中、知制誥、史館修撰除左諫議大夫、樞密副使。	四月庚辰，樞密副使陳旭以資政殿學士知定州。
1062	七年壬寅	韓琦 曾公亮	　	三月乙卯，趙槩自樞密副使、禮部侍郎除參知政事。吳奎自翰林學士、權知開封府除樞密副使。	三月乙卯，孫抃自參知政事以觀文殿學士兼翰林侍讀學士、同厩牧制置使免。五月庚午，樞密副使包拯卒。
1063	八年癸卯英宗四月壬申朔即位	韓琦 曾公亮	　	五月戊午，富弼既除喪，授樞密使、檢校太師、行禮部尚書、同平章事。	　
1064	治平元年甲辰	閏五月戊辰，韓琦自門下侍郎兼兵部尚書、同平章事、昭文館大學士、監修國史、魏國公加尚書右僕射。 韓琦 曾公亮	　	十二月丙午，王疇自翰林學士、禮部侍郎除樞密副使。	十二月戊子，樞密副使吳奎丁父憂。
1065	二年乙巳	韓琦 曾公亮	　	三月己未，起復吳奎，奎固辭。五月癸亥，陳旭自資政殿學士、禮部侍郎除樞密副使。七月庚辰，文彥博自淮南節度使、檢校太師兼侍中、行揚州大都督長史、潞國公除樞密使。辛巳，呂公弼自工部侍郎、權三司使、樞密直學士除守本官、樞密副使。	二月癸卯，樞密副使王疇卒。七月癸亥，富弼自行戶部尚書以檢校太師、同平章事、鎮海軍節度使判河陽。庚辰，張昪自樞密使辭疾，以檢校太尉、同平章事、彰信軍節度使判許州。
1066	三年丙午	韓琦 曾公亮	　	四月庚戌，郭逵自殿前都虞候、容州觀察使加檢校太保，除同簽書樞密院事。	四月庚戌，胡宿自樞密副使以觀文殿學士、吏部侍郎知杭州。十月丁亥，郭逵自同簽書樞密院事除陝西四路沿邊宣撫使兼判渭州。
1067	四年丁未神宗正月丁巳即位	正月戊辰，韓琦自尚書右僕射、同平章事、魏國公加守司空兼侍中。九月壬寅，曾公亮自集賢殿大學士、同中書門下平章事加尚書左僕射。 韓琦 曾公亮	九月辛丑，韓琦自守司空兼侍中、同平章事、魏國公以守司徒兼侍中、檢校太師、鎮安武勝軍節度使判相州。	正月丙寅，吳奎除喪，復樞密副使。三月癸酉，以禮部侍郎參知政事。九月辛丑，呂公弼自樞密副使、刑部侍郎除檢校太傅、樞密使。張方平自翰林學士承旨兼龍圖閣學士、端明殿學士、戶部尚書，趙抃自龍圖閣學士、右司郎中、知諫院，並除參知政事。抃遷右諫議大夫。韓絳自三司使、吏部侍郎，邵亢自樞密直學士、兵部員外郎、知開封府，並除樞密副使。亢遷右諫議大夫。	三月壬申，歐陽修自尚書右丞、參知政事以觀文殿學士、刑部尚書知亳州。九月辛丑，吳奎自參知政事以資政殿學士、戶部侍郎知青州。陳旭自樞密副使、戶部侍郎以觀文殿學士、尚書右丞知越州。癸卯，郭逵自同簽書樞密院事以宣徽南院使判鄆州。十月己酉，參知政事張方平丁父憂。
1068	熙寧元年戊申	曾公亮	　	正月丙申，唐介自龍圖閣學士、給事中、權三司使除參知政事。七月己卯，陳旭自觀文殿學士、尚書左丞、知越州除知樞密院事。	正月丙申，趙槩自參知政事以吏部尚書、觀文殿學士知徐州。十二月辛酉，邵亢自樞密副使以資政殿學士、給事中知越州。
1069	二年己酉	二月己亥，富弼自觀文殿大學士、行尚書左僕射，鄭國公依前左僕射加兼門下侍郎、同平章事、昭文館大學士、監修國史。十月丙申，曾公亮自行吏部侍郎、同平章事、集賢殿大學士加昭文館大學士、監修國史兼譯經潤文使魯國公。陳旭自尚書右丞、知樞密院事加行禮部尚書、同平章事、集賢殿大學士。 富弼 曾公亮 陳旭	十月丙申，富弼自左僕射兼門下侍郎、同平章事加檢校太師，依前行左僕射、同平章事以武寧軍節度使判亳州。	二月庚子，王安石自翰林學士、工部侍郎兼侍講除右諫議大夫、參知政事。	四月丁未，參知政事唐介卒。
1070	三年庚戌	十二月丁卯，韓絳自吏部尚書、參知政事加同平章事、昭文館大學士。王安石自右諫議大夫、參知政事加禮部侍郎、同平章事、監修國史。 曾公亮 陳旭 韓絳 王安石	九月庚子，曾公亮自行吏部侍郎、同平章事、昭文館大學士以守司空、檢校太師兼侍中領河陽三城節度使、集禧觀使，五日一奉朝請。十月戊寅，陳旭自行禮部尚書、同平章事丁母憂。	二月壬申，司馬光自翰林學士、兼侍讀學士、右諫議大夫、史館修撰除樞密副使，辭不拜。四月己卯，韓絳自樞密副使除兼參知政事。七月壬辰，馮京自□部侍郎、權御史中丞除右諫議大夫、樞密副使。九月辛丑，馮京自樞密副使除參知政事。吳充自翰林學士、右司郎中、權三司使除右諫議大夫、樞密副使。十二月丁卯，王珪自翰林學士承旨、端明殿學士、翰林侍讀學士、禮部侍郎仍守本官，除參知政事。	四月己卯，趙抃自參知政事、右諫議大夫以資政殿學士知杭州。七月壬辰，呂公弼自樞密副使以吏部侍郎、觀文殿大學士知太原府。九月乙未，韓絳自樞密副使除陝西路宣撫使。
1071	四年辛亥	正月壬子，陳旭起復，仍禮部尚書加同平章事，辭不拜。 韓絳 王安石	三月丁未，韓絳自同平章事守吏部侍郎，知鄧州。	　	　
1072	五年壬子	王安石	　	二月丙寅，蔡挺自龍圖閣直學士、右諫議大夫、知渭州除樞密副使。十二月壬午，陳旭以檢校太傅、行禮部尚書、同平章事除樞密使。	　
1073	六年癸丑	王安石	　	四月己亥，文彥博自劍南西川節度使、守司空兼侍中、樞密使以守司徒兼侍中、河東節度使判河陽。	　
1074	七年甲寅	四月丙戌，韓絳自觀文殿大學士、行吏部侍郎、知大名府守本官加同中書門下平章事、監修國史。 王安石 韓絳	四月丙戌，王安石自禮部侍郎、同平章事以吏部尚書、觀文殿大學士知江寧府。	四月丙戌，呂惠卿自翰林學士、右正言兼侍讀除右諫議大夫、參知政事。十二月丁卯，王韶自觀文殿學士兼端明殿學士、龍圖閣學士、禮部侍郎、知熙州除樞密副使。	　
1075	八年乙卯	二月癸酉，王安石自觀文殿大學士、吏部尚書、知江寧府依前官加同平章事、昭文館大學士。 韓絳 王安石	八月庚戌，韓絳自觀文殿大學士、行吏部侍郎、同中書門下平章事以禮部尚書、觀文殿大學士知許州。	四月戊寅，吳充自樞密副使、右諫議大夫除檢校太傅、行工部尚書、樞密使。十二月壬寅，元絳自翰林學士兼侍讀學士、判太常寺兼厩牧使、工部侍郎除參知政事。曾孝寬自龍圖閣直學士、起居舍人兼樞密都承旨、同羣牧使除樞密直學士、簽書樞密院事。	正月庚子，蔡挺自右諫議大夫、樞密副使以資政殿學士判南京留司御史臺。馮京自右諫議大夫、參知政事以守本官知亳州。閏四月乙未，陳旭自禮部尚書、同平章事、樞密使以檢校太尉、鎮江軍節度使、同平章事判揚州。十月庚寅，呂惠卿以參知政事守本官知陳州。
1076	九年丙辰	十月丙午，吳充自樞密使、檢校太傅、行工部侍郎守前官加同平章事、監修國史。王珪自禮部侍郎、參知政事守前官加同平章事、集賢殿大學士。 王安石 吳充 王珪	十月丙午，王安石自檢校太傅依前尚書左僕射，領鎮南軍節度使判江寧府。	十月丙午，馮京自資政殿學士、右諫議大夫、知成都府除知樞密院事。	　
1077	十年丁巳	吳充 王珪	　	　	二月己亥，王韶自樞密副使以戶部侍郎、觀文殿大學士知洪州。
1078	元豐元年戊午	吳充 王珪	　	閏正月壬辰，孫固自權知開封府、樞密直學士、右諫議大夫除同知樞密院事。九月乙酉，呂公著自端明殿學士兼翰林侍讀學士、寶文閣學士、戶部侍郎，薛向自樞密直學士、工部侍郎，並除同知樞密院事。	閏正月己亥，簽書樞密院事曾孝寬丁父憂，五月庚辰，起復，固辭。
1079	二年己未	吳充 王珪	　	五月戊子，蔡確自右諫議大夫、權御史中丞、直學士院、判司農寺除參知政事。	五月甲申，元絳自參知政事以工部侍郎知亳州。
1080	三年庚申	九月丙戌，王珪自同中書門下平章事加監修國史。 吳充 王珪	三月己丑，吳充辭疾，以吏部尚書、觀文殿大學士、西太一宮使免。	二月丙午，章惇自翰林學士、右正言、知審官東院除右諫議大夫、參知政事。九月癸未，薛向自工部侍郎、同知樞密院事、加正議大夫，孫固自右諫議大夫、同知樞密院事、加太中大夫，並除樞密副使。丙戌，馮京自通議大夫、知樞密院事除正議大夫、樞密使。丁亥，呂公著自戶部侍郎、同知樞密院除正議大夫、樞密副使。	　
1081	四年辛酉	王珪	　	正月辛亥，孫固自樞密副使、太中大夫除兼厩牧制置使、知樞密院事。呂公著自樞密副使、正議大夫，加龍圖閣直學士韓縝自太中大夫、樞密都承旨兼厩牧使，並除同知樞密院事。三月甲辰，張璪自翰林學士除太中大夫、參知政事。	正月辛亥，馮京自正議大夫兼羣牧制置使、樞密使以光祿大夫、觀文殿學士知河陽府。三月癸卯，章惇自參知政事坐父俞強占民田及為朱服所奏，而報上不實，以太中大夫知蔡州。
1082	五年壬戌	是年，改官制，以左、右僕射為宰相。四月癸酉，王珪自銀青光祿大夫兼門下侍郎、同中書門下平章事依前官加尚書左僕射兼門下侍郎。蔡確自太中大夫、參知政事依前官加右僕射兼中書侍郎。 王珪 蔡確	　	四月甲戌，章惇自太中大夫、知定州加守門下侍郎。張璪自太中大夫、參知政事加守中書侍郎。蒲宗孟自翰林學士加中大夫、守尚書左丞。王安禮自翰林學士加中大夫、守尚書右丞。	四月丁丑，呂公著自政議大夫、同知樞密院事以光祿大夫、資政殿大學士知定州。
1083	六年癸亥	王珪 蔡確	　	七月丙辰，韓縝自太中大夫、同知樞密院進知樞密院事。安燾自太中大夫、試戶部尚書除同知樞密院事。八月辛卯，王安禮自守尚書右丞除尚書左丞。李清臣自吏部尚書除中大夫、尚書右丞。	七月丙辰，孫固自知樞密院事以通議大夫、觀文殿學士知河陽。八月辛卯，蒲宗孟自中大夫以守尚書左丞知汝州。
1084	七年甲子	王珪 蔡確	　	　	七月甲寅，王安禮自尚書左丞以端明殿學士知江寧府。
