
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1115	五年乙未	蔡京 何執中	　	　	
1116	六年丙申	五月庚子，鄭居中自特進、知樞密院事加少保、太宰兼門下侍郎。劉正夫自銀青光祿大夫、中書侍郎加特進、少宰兼中書侍郎。蔡京何執中鄭居中劉正夫	四月辛未，何執中自尚書左僕射以太傅致仕。十二月乙酉，劉正夫自少宰以安化軍節度使、開府儀同三司致仕。	五月壬寅，鄧洵武自保大軍節度使、佑神觀使兼侍讀除正奉大夫、知樞密院事。八月乙巳，薛昂自銀青光祿大夫、尚書右丞除尚書左丞。侯蒙自中大夫、尚書左丞除中書侍郎。十一月辛卯，童貫自節度使、開府儀同三司、陝西河東河北宣撫使除簽書樞密院事。庚子，白時中自禮部尚書兼侍讀除中大夫、尚書右丞。	
1117	七年丁酉	十一月辛卯，鄭居中自太宰丁母憂起復門下侍郎。余深特進、少宰兼中書侍郎。蔡京鄭居中余深	八月庚午，鄭居中自太宰丁母憂。	二月，以童貫為陝西、河東、河北宣撫使，仍帶同簽書樞密院事。三月乙未，改權領樞密院事。十一月辛卯，白時中自中大夫、尚書右丞加中書侍郎。十二月丁巳，薛昂自銀青光祿大夫、尚書左丞加特進、門下侍郎。庚午，童貫領樞密院事。	十月戊寅，侯蒙自中書侍郎以資政殿學士出知亳州。
1118	重和元年戊戌	七月壬午，鄭居中自太宰加少傅。余深自少宰加少保。九月辛丑，鄭居中罷起復。 蔡京 鄭居中 余深	　	正月庚戌，王黼自翰林學士承旨以尚書左丞起復。七月壬午，領樞密院事童貫加檢校太保。八月甲寅，加太保。九月庚寅，白時中自中書侍郎遷門下侍郎。王黼自尚書左丞加中書侍郎。馮熙載自翰林學士承旨、知制誥兼侍講除中大夫、尚書左丞。范致虛自刑部尚書除中大夫、尚書右丞。	九月庚寅，薛昂自門下侍郎除彰化軍節度使、佑神觀使兼侍讀。
1119	宣和元年己亥	正月戊午，余深自特進、少宰兼中書侍郎加太宰兼門下侍郎。王黼自通議大夫、中書侍郎加特進、少宰兼中書侍郎、神霄玉清萬壽宮使。 蔡京 余深 王黼	　	二月戊戌，鄧洵武自守中書侍郎知隨州加少保。三月己未，馮熙載自尚書左丞遷中書侍郎。范致虛自尚書右丞遷尚書左丞。張邦昌自翰林學士除尚書右丞。七月甲寅，童貫自知樞密院事加太傅。十一月戊辰，張邦昌自通議大夫、尚書右丞遷尚書左丞。王安中自翰林學士承旨、知制誥除中大夫、尚書右丞。	八月丁酉，尚書左丞范致虛丁母憂。
1120	二年庚子	九月癸亥，太宰兼門下侍郎余深以哲宗寶訓成進少傅。十一月庚戌，王黼自特進、少宰兼中書侍郎加少保、太宰兼門下侍郎。 蔡京 余深 王黼	六月戊寅，蔡京自太尉、左僕射兼門下侍郎、魏國公、太師以太師、魯國公致仕。十一月己亥，余深自太宰以少傅、鎮江軍節度使出知福州。	十二月己丑，少傅、威武軍節度使鄭居中權領樞密院事。	　
1121	三年辛丑	九月丙寅，王黼自少保、太宰兼門下侍郎加少傅。王黼		正月癸卯，童貫自太保、領樞密院事除江、浙、江、淮等路宣撫使。五月戊戌，鄭居中落「權」字，依童貫例領樞密院事。八月乙巳，童貫加太師。鄭居中加少師。十月庚申，童貫仍舊領陝西、河東、河北宣撫使。十一月丁丑，張邦昌自尚書左丞加中書侍郎。王安中自中大夫、尚書右丞遷尚書左丞。李邦彥自翰林學士承旨、太中大夫、知制誥兼侍讀、修國史除尚書右丞。	正月壬寅，少保、知隨州鄧洵武卒。十一月丁丑，馮熙載自中書侍郎以資政殿學士出知亳州。
1122	四年壬寅	六月丙午，王黼加少師。 王黼	　	　	　
1123	五年癸卯	五月庚申，王黼自太宰兼門下侍郎加太傅，依蔡京昨任太師例。 王黼	　	二月乙酉朔，李邦彥自太中大夫、尚書右丞遷尚書左丞。趙野自翰林學士、知制誥除中大夫、尚書右丞。五月庚申，鄭居中自少師、領樞密院事加太保。癸亥，童貫落節鉞，依前太師。六月乙巳，蔡攸以少師、安遠軍節度使領樞密院事。	正月辛酉，王安中自中大夫、尚書左丞以慶遠軍節度使、河北河東燕山府路宣撫使知燕山府。六月丁未，鄭居中自領樞密院事、太保致仕，明日卒。七月己未，童貫自領陝西河東河北宣撫使致仕。
1124	六年甲辰	九月乙亥，李邦彥自通奉大夫、守尚書左丞加銀青光祿大夫、少宰兼中書侍郎、神霄玉清萬壽宮使。白時中自金紫光祿大夫、門下侍郎加特進、太宰兼門下侍郎、神霄玉清萬壽宮使。十二月癸亥，蔡京自太師、魯國公落致仕，依前太師、領三省事、神霄玉清萬壽宮使。 王黼京 白時中 李邦彥	十一月丙子，太宰兼門下侍郎、楚國公王黼以太傅致仕。	四月丁巳，李邦彥丁憂起復。八月乙卯，童貫自劍南東川節度使落致仕，依前太師、領樞密院事、陝西河北河東燕山府路宣撫使，進封徐、豫國公。九月乙亥，趙野自中大夫、尚書右丞遷尚書左丞。宇文粹中自翰林學士承旨、宣奉大夫除尚書右丞。蔡懋自朝議大夫、試開封府尹除中大夫、同知樞密院事。蔡攸自少師安遠軍節度使領樞密院事落節鉞，依前少師。	
1125	七年乙巳欽宗十二月庚申即位	蔡京 白時中 李邦彥	四月庚申，蔡京罷領三省事，復以太師、魯國公致仕。	六月己未，蔡攸自少師、領樞密院事加太保。十二月庚申，吳敏自試給事中、直學士院加中大夫、門下侍郎。壬戌，耿南仲自徽猷閣學士、朝散大夫、太子詹事除資政殿學士、簽書樞密院事。	
1126	靖康元年丙午	正月辛未，李邦彥自銀青光祿大夫、少宰兼中書侍郎起復，加特進、太宰兼門下侍郎。張邦昌自正奉大夫加特授依前官少宰兼中書侍郎、神霄玉清萬壽宮使。二月庚戌，加光祿大夫，太宰兼門下侍郎。吳敏自知樞密院事遷太中大夫、少宰兼中書侍郎。三月己巳，徐處仁自守中書侍郎加通奉大夫、太宰兼門下侍郎。八月己未，唐恪自正奉大夫加少宰兼中書侍郎。閏十一月壬辰，{上鹵下木}自守門下侍郎加通奉大夫、右僕射、中書侍郎。蔡京 白時中 李邦彥 張邦昌 吳敏 徐處仁 唐恪{上鹵下木}	正月辛未，白時中自太宰以觀文殿大學士領中太乙宮使依前特進、慶國公。二月庚戌，李邦彥自太宰兼門下侍郎以觀文殿學士領中太乙宮使。甲寅蔡京自太師、魯國公致仕責授中奉大夫、祕書監、分司南京，河南居住。三月己巳，張邦昌自太宰、兼門下侍郎以觀文殿大學士領中太乙宮使。八月己未，徐處仁自太宰以觀文殿大學士領中太乙宮使。吳敏自少宰以觀文殿大學士領醴泉觀使。閏十一月壬辰朔，唐恪自少宰以觀文殿大學士領中太乙宮使兼侍讀依前光祿大夫。	正月己巳，吳敏自中大夫、守門下侍郎除知樞密院事、親征行營副使。李梲自正奉大夫、守吏部尚書除同知樞密院事。庚午，李綱自試兵部侍郎、中大夫除尚書右丞。辛未，趙野自通議大夫，尚書左丞除門下侍郎。王孝迪自通議大夫、翰林學士承旨除中書侍郎。蔡懋自中大夫、同知樞密院事除尚書左丞。甲戌，唐恪自正議大夫、守吏部尚書除同知樞密院事。耿南仲自簽書樞密院事進同知樞密院事。辛巳，路允迪自試兵部尚書除資政殿學士、簽書樞密院事。丁亥，種師道自檢校少保、靜難軍節度使、河北河東制置使除同知樞密院事。二月戊戌，尚書右丞李綱罷，辛丑復職。癸卯，徐處仁自觀文殿大學士、大名尹除中書侍郎。宇文虛中自保和殿大學士除資政殿大學士、簽書樞密院事。庚戌，李綱自中大夫、尚書右丞除知樞密院事。耿南仲自同知樞密院事除尚書左丞。李梲自正奉大夫、同知樞密院事除尚書右丞。三月己巳，唐恪自正議大夫、同知樞密院事依前官加中書侍郎。{上鹵下木}自翰林學士、知制誥除中大夫、尚書右丞。許翰自御史中丞除中大夫、同知樞密院事。四月癸卯，耿南仲自太中大夫、尚書左丞依前官加門下侍郎。是月，種師道自檢校少傅、中太乙宮使復除同知樞密院事。六月戊戌，李綱宣撫河北、河東。八月丙申，種師道代李綱為宣撫。己未，{上鹵下木}自太中大夫、尚書右丞除中書侍郎。陳過庭自太中大夫、試禮部尚書兼侍讀除尚書右丞。聶昌自開封府尹除中大夫、同知樞密院事。李回自朝請大夫、御史中丞兼侍讀除延康殿學士、簽書樞密院事。九月丁丑，王{上宀下禹}自禮部尚書除尚書左丞。十月丁未，馮澥自禮部尚書、太子詹事兼侍讀除中大夫、知樞密院事。十一月丁丑，陳過庭自太中大夫、尚書右丞除中書侍郎。孫傅自試兵部尚書除中大夫、尚書右丞。甲申，除同知樞密院事。曹輔自御史中丞除延康殿學士、簽書樞密院事。庚寅，{上鹵下木}自資政殿學士、中大夫、提舉萬壽觀兼侍讀、領開封府事除門下侍郎。閏十一月丁酉，馮澥自資政殿學士、中大夫、太子賓客除尚書左丞。庚子，張叔夜自延康殿學士、南道都總管除簽書樞密院事。	二月癸卯，蔡懋自尚書左丞以資攻殿學士、依前中大夫知大名府兼北京留守。王孝迪自中書侍郎以資政殿學士提舉醴泉觀。癸丑，種師道自同知樞密院事以檢校少傅領中太乙宮使。甲寅，童貫自太師、廣陽郡王、徐豫國公責授左衞上將軍致仕，池州居住。蔡攸自太保、領樞密院事、燕國公責授太中大夫、提舉亳州明道宮，任便居住。三月戊辰，李梲自尚書左丞以正奉大夫、資政殿學士提舉南京鴻慶宮。庚午，宇文虛中自簽書樞密院事以資政殿學士、仍中大夫出知青州。四月庚戌，趙野自門下侍郎以資政殿學士出知襄陽府。六月癸卯，路允迪自簽書樞密院事以資政殿學士提舉醴泉觀。八月戊午，許翰自同知樞密院事以延康殿學士出知亳州。九月丁丑，李綱自知樞密院事以觀文殿學士出知揚州。十月戊午，王{上宀下禹}自尚書左丞坐辭使軍前責授單州團練副使，新州安置。辛酉，種師道卒。十一月戊辰，馮澥自知樞密院除資政殿學士、太子賓客。丁丑，{上鹵下木}自中書侍郎依前官提舉醴泉觀兼侍讀。丁亥，李回自簽書樞密院事除提舉萬壽觀。



Chinese text: This work was published before January 1, 1923, and is in the
public domain worldwide because the author died at least 100 years ago.
