
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1137	七年丁巳	九月丙子，趙鼎自觀文殿大學士充萬壽觀使，授左金紫光祿大夫、守尚書左僕射兼樞密使。 張浚 趙鼎	九月壬申，張浚罷右相，以觀文殿大學士提舉江州太平觀。	正月癸未，陳與義自翰林學士除參知政事。沈與求自資政殿學士、提舉洞霄宮召為提舉萬壽觀兼侍讀。既至，以為同知樞密院事。乙酉，秦檜自觀文殿學士、醴泉觀使兼侍讀除樞密使。三月戊寅，沈與求除知樞密院事。	　
1138	八年戊午	三月壬辰，秦檜自樞密使、左宣奉大夫守右僕射、同平章事兼樞密使。 秦檜 趙鼎	十月甲戌，趙鼎罷左相，授奉國軍節度使、知紹興府。	三月庚寅，王庶自兵部尚書除樞密副使。劉大中自禮部尚書除參知政事。十一月甲申，孫近自翰林學士承旨除參知政事。十二月甲戌，韓肖冑自端明殿學士除簽書樞密院事。十二月己未，李光自吏部尚書除參知政事。	正月戊戌，張守罷參知政事，以資政殿大學士知婺州。三月甲午，陳與義罷參知政事，以資政殿學士知湖州。十月丁巳，劉大中罷參知政事，以資政殿學士知處州。十一月甲辰，王庶罷樞密副使，以資政殿學士知潭州。
1139	九年己未	秦檜	二月，張浚自提舉洞霄宮詔復資政殿大學士知福州。	正月丙戌，王倫除同簽書樞密院事。三月辛丑，樓炤自翰林學士承旨、知制誥除簽書樞密院事。	十二月辛酉，李光罷參知政事。
1140	十年庚申	秦檜	　	七月丙午，王次翁自御史中丞除參知政事。	二月，韓肖冑罷簽書樞密院事，以資政殿學士知紹興府。六月甲子，樓炤以丁父憂去。
1141	十一年辛酉	六月己亥，秦檜自右僕射加特進、左僕射，仍兼樞密使，封慶國公。 秦檜	　	四月壬辰，韓世忠自揚武翊運功臣、太保、橫海武寧安化軍節度使、淮東路宣撫使除樞密使。張俊自安民靖難功臣、少師、鎮洮崇信奉寧軍節度、淮西路宣撫使除樞密使。岳飛自少保、武勝定國軍節度使、湖北京西路宣撫使除樞密副使。七月庚子，范同自翰林學士除參知政事。十月癸巳，韓世忠罷樞密使，授太傅、橫海武寧安化軍節度使，充醴泉觀使。十一月乙卯，何鑄自御史中丞遷端明殿學士，除簽書樞密院事。	四月己卯，孫近罷參知政事，以資政殿學士提舉洞霄宮。八月甲戌，岳飛罷樞密副使，依前少保、武勝定國軍節度使，充萬壽觀使。十一月己亥，范同罷參知政事。
1142	十二年壬戌	九月己巳，秦檜自少保、左僕射加太師，以徽宗梓宮及太后還，故有是命。 秦檜	　	七月，何鑄兼權參知政事。八月甲戌，万俟卨自御史中丞除參知政事。九月乙未，孟忠厚自少保、護國軍節度使、判紹興府、信安郡王除樞密使。十月乙亥，程克俊自翰林學士遷端明殿學士，除簽書樞密院事，尋兼權參知政事。	八月，何鑄罷簽書樞密院事，以本職提舉太平觀。十一月癸巳，張俊罷樞密使，自太傅、益國公授鎮洮崇信等節度、醴泉觀使、清河郡王。是月，孟忠厚罷樞密使，以少傅知建康府。
1143	十三年癸亥	秦檜	　	　	閏四月乙卯，王次翁罷參知政事，以資政殿學士提舉洞霄宮。六月，程克俊罷簽書，依前職提舉洞霄宮。
1144	十四年甲子	秦檜	　	二月，樓炤自資政殿學士、知建康府除簽書樞密院事，尋兼權參知政事。五月乙丑，李文會自御史中丞遷端明殿學士，除簽書樞密院事兼權參知政事。十二月辛丑，楊願自御史中丞遷端明殿學士，除簽書樞密院事。	二月丙午，万俟卨罷參知政事。五月甲子，樓炤罷簽書。十二月，李文會罷簽書樞密院事。
1145	十五年乙丑	秦檜	　	十月，秦熺自翰林學士承旨除知樞密院事。癸未，李若谷自敷文閣直學士、樞密都承旨兼侍讀遷端明殿學士，除簽書樞密院事，尋兼權參知政事。	十月丙子，楊願罷簽書樞密院事。
1146	十六年丙寅	秦檜	　	　	　
1147	十七年丁卯	秦檜	　	正月壬辰，李若谷自端明殿學士、簽書樞密院事除參知政事。何若自御史中丞除簽書樞密院事。三月己卯，段拂自翰林學士除參知政事。四月己亥，汪勃自御史中丞遷端明殿學士，除簽書樞密院事。	二月辛酉，李若谷罷參知政事。三月乙亥，何若罷簽書。
1148	十八年戊辰	秦檜	　	二月，汪勃兼權參知政事。七月丁酉，詹大方簽書樞密院事兼權參知政事。十月丙辰，余堯弼簽書樞密院事兼權參知政事。	正月乙未，段拂罷參知政事。七月丙申，汪勃罷簽書。九月，詹大方卒。
1149	十九年己巳	秦檜	　	　	　
1150	二十年庚午	秦檜	　	二月癸未，余堯弼自簽書樞密院事除參知政事。巫伋自給書中遷端明殿學士，除簽書樞密院事。	　
1151	二十一年辛未	秦檜	　	十一月，巫伋自簽書樞密院事兼權參知政事。	十一月庚戌，余堯弼罷參政，以資政殿學士提舉洞霄宮。
1152	二十二年壬申	秦檜	　	四月辛巳，章復自御史中丞遷端明殿學士，除簽書樞密院事兼權參知政事。十月甲戌，宋樸自御史中丞遷端明殿學士，除簽書樞密院事兼參知政事。	四月丙子，巫伋罷簽書。九月癸丑，章復罷簽書。
1153	二十三年癸酉	秦檜	　	十月壬申，史才自諫議大夫遷端明殿學士，除簽書樞密院事兼權參知政事。	十月戊辰，宋樸罷簽書，以端明殿學士提舉洞霄宮。
1154	二十四年甲戌	秦檜	　	六月甲午，魏師遜自御史中丞遷端明殿學士，除簽書樞密院事兼權參知政事。十一月丁卯，施鉅自吏部侍郎除參知政事。鄭仲熊自吏部侍郎遷端明殿學士，除簽書樞密院事，尋兼權參知政事。	六月癸巳，史才罷簽書，以端明殿學士提舉洞霄宮。十一月乙丑，魏師遜罷簽書。
1155	二十五年乙亥	秦檜	十月丙申，秦檜自太師、左僕射進封建康郡王致仕。子熺亦加少師致仕。	六月辛巳，湯思退自禮部侍郎遷端明殿學士，除簽書樞密院事。八月丙戌，董德元自吏部尚書除參知政事。十月，湯思退自簽書樞密院事兼參知政事。十一月癸丑，魏良臣自敷文閣直學士召除參知政事。十二月甲午，沈該自敷文閣待制、前知夔州召除參知政事。	四月乙酉，施鉅罷參政，以資政殿學士提舉太平興國宮。六月己卯，鄭仲熊罷簽書。十二月乙酉，董德元罷參政，以資政殿學士提舉太平興國宮。
1156	二十六年丙子	五月壬寅，沈該自參知政事授左朝議大夫，守左僕射、同平章事。万俟卨自參知政事授左宣奉大夫，守右僕射、同平章事。 沈該 万俟卨	正月甲子，趙鼎追復觀文殿大學士。是年冬，万俟卨進授金紫光祿大夫致仕。	三月己未，万俟卨自資政殿學士，提舉萬壽觀除參知政事。五月甲辰，湯思退自端明殿學士、簽書樞密院事進知樞密院事。六月丁丑，程克俊自端明殿學士、知明州除參知政事。八月甲午，張綱自吏部侍郎除參知政事。九月乙巳，陳誠之自敷文閣學士除同知樞密院事。	正月甲子，孫近復資政殿學士。二月辛卯，魏良臣罷參政，以資政殿學士知紹興府。
1157	二十七年丁丑	六月戊申，湯思退自知樞密院事授右通奉大夫，守右僕射、同平章事。 沈該 湯思退	　	二月戊午，湯鵬舉自御史中丞除參知政事。八月乙未，湯鵬舉自參知政事除知樞密院事。九月戊寅，陳康伯自吏部尚書除參知政事。	九月癸酉，張綱罷參政，以資政殿學士知婺州。十一月癸未，湯鵬舉以資政殿學士提舉洞霄宮。
1158	二十八年戊寅	沈該 湯思退	　	二月丙申，陳誠之自同知樞密院事除知樞密院事。乙巳，王綸自工部侍郎兼直學士院除同知樞密院事。	　
1159	二十九年己卯	九月甲午，陳康伯右僕射。湯思退左僕射。 沈該 陳康伯 湯思退	六月乙酉，沈該罷左相，以觀文殿大學士提舉洞霄宮。	七月丁亥，賀允中自吏部侍郎除參知政事。十二月辛未，王綸自同知樞密院事除知樞密院事。	六月丁酉，陳誠之罷知樞密院事。
1160	三十年庚辰	湯思退 陳康伯	十二月乙巳朔，湯思退罷左相，以觀文殿大學士提舉太平興國宮。	正月，葉義問自殿中侍御史除同知樞密院事。七月戊戌，朱倬自御史中丞除參知政事。葉義問自同知樞密院事除知樞密院事。周麟之自翰林學士兼侍讀除同知樞密院事。	六月庚午，王綸罷知院，以資政殿大學士知福州。八月癸丑，賀允中罷參政，以資政殿學士致仕。
1161	三十一年辛巳	三月庚寅，陳康伯自右僕射授左光祿大夫，遷左僕射同平章事。朱倬自參知政事授左通奉大夫，遷右僕射、同平章事。 湯思退 陳康伯 朱倬	十月，張浚復觀文殿大學士，判建康府。	三月壬午，楊椿自兵部尚書、兼權翰林學士除參知政事。九月庚辰，黃祖舜自給事中除同知樞密院事。	六月庚申，周麟之罷同知樞密院事。
1162	三十二年壬午孝宗六月丙子即位	十二月丁卯，宰相陳康伯仍兼樞密使。 陳康伯 朱倬	六月，朱倬罷右僕射，以觀文殿學士提舉太平興國宮。	四月戊寅，汪澈自御史中丞除參知政事。七月己巳，史浩自翰林學士、知制誥遷左中大夫，除參知政事。十月戊子，張燾自左太中大夫、提舉太平興國宮除同知樞密院事。	十月乙巳，葉義問罷樞密院事，以資政殿學士提舉太平興國宮。
1163	隆興元年癸未	正月庚午，史浩自參知政事除左通奉太夫、守右僕射、同中書門下平章事兼樞密使。七月庚寅，湯思退自觀文殿大學士、左金紫光祿大夫充醴泉觀使兼侍讀除特進、右僕射、同平章事兼樞密使，進封榮國公。十二月丁丑，湯思退自特進、右僕射、榮國公授左僕射兼樞密使，進封慶國公。張浚自降授特進、樞密使、魏國公授右僕射、同平章事兼樞密使，依前都督江淮東西路、建康鎮江府、江陰軍、江池州屯駐軍馬。 張浚 湯思退 陳康伯 史浩	五月，史浩罷右僕射，以觀文殿大學士知紹興府。十二月丁巳朔，陳康伯罷相，除少保、觀文殿大學士判信州，進封福國公。	正月庚午，張浚自少傅、觀文殿大學士充江淮東西路宣撫使，節制沿江軍馬、魏國公除樞密使。三月癸巳，張燾自同知樞密院事遷太中大夫，除參知政事。辛次膺自御史中丞遷左中大夫，除同知樞密院事。五月丁未，辛次膺自同知樞密院事除參知政事。洪遵自翰林學士承旨、知制誥兼侍讀遷左中大夫，除同知樞密院事。六月戊辰，周葵自兵部侍郎兼侍講遷左太中大夫，除參知政事。	二月癸未，黃祖舜罷同知，以資政殿學士知潭州。五月癸亥，汪澈罷參政，以資政殿大學士提舉洞霄宮。六月戊寅，辛次膺罷參政，以資政殿學士提舉臨安府洞霄宮。
1164	二年甲申	十一月戊戌，陳康伯自少保、觀文殿大學士、醴泉觀使、福國公拜左僕射、同平章事兼樞密使，依前少保，進封魯國公。 張浚 陳康伯 湯思退	四月丁丑，張浚罷右僕射，授少師、保信軍節度使判福州，依前魏國公。十一月辛卯，湯思退罷左僕射，授觀文殿大學士，提舉太平興國宮，依前特進、岐國公。	七月己巳，周葵兼權知樞密院事。八月己酉，賀允中自資政殿大學士、左通議大夫、提舉萬壽觀除知樞密院事兼參知政事。九月辛丑，王之望自左諫議大夫、淮西宣諭使遷左中大夫，除參知政事。十一月辛丑，錢端禮自兵部尚書、賜同進士出身除端明殿學士，簽書樞密院事，尋兼權參知政事。十一月壬寅，虞允文自顯謨閣學士、知平江府召除端明殿學士、同簽書樞密院事，尋兼權參知政事十二月辛卯，錢端禮自簽書樞密院事除參知政事兼權知樞密院事。虞允文自朝請大夫、簽書樞密院事除同知樞密院事兼權參知政事。王剛中自禮部尚書除端明殿學士簽書樞密院事。	七月丁亥，洪遵罷同知，以端明殿學士提舉太平興國宮。閏十一月丙辰，周葵罷參政，以資政殿學士提舉臨安府洞霄宮。乙亥，王之望罷參政，以端明殿學士提舉太平興國宮。
1165	乾道元年乙酉	十二月戊寅，洪適自參知政事除左通奉大夫，守右僕射兼權樞密使。 陳康伯 洪適	二月戊申，陳康伯罷左僕射，授少師、觀文殿大學士、魯國公致仕。	三月庚申，虞允文自同知樞密院事除參知政事兼同知樞密院事。王剛中自簽書樞密院事遷左中奉大夫，除同知樞密院事。四月丙戌，洪適自翰林學士、左中奉大夫、知制誥除端明殿學士、簽書樞密院事。八月己丑，洪適自簽書樞密院事除參知政事。葉顒自吏部侍郎、權尚書除端明殿學士、簽書樞密院事。癸巳，兼權參知政事。九月甲戌，汪澈自端明殿學士除知樞密院事。十二月戊寅，汪澈自左通議大夫、知樞密院事除樞密使。庚寅，葉顒自簽書樞密院事除參知政事兼同知樞密院事。	八月己丑，虞允文罷參政，以端明殿學士提舉江州太平興國宮。丙申，錢端禮罷參政，以資政殿大學士提舉萬壽觀。
1166	二年丙戌	十二月甲申，葉顒自參知政事除左通奉大夫、左僕射、同平章事兼樞密使。魏〈木巳〉自參知政事除左正議大夫、右僕射、同平章事兼樞密使。 洪適 葉顒 魏〈木巳〉	三月辛未，洪適罷右僕射，授觀文殿學士，提舉江州太平興國宮。	三月癸酉，魏〈木巳〉自給事中、權吏部尚書除同知樞密院事兼權參知政事。五月庚戌，魏〈木巳〉自同知樞密院事除參知政事。八月戊子，兼同知樞密院事。林安宅自右諫議大夫除同知樞密院事兼權參知政事。辛亥，蔣芾自中書捨人除端明殿學士、簽書樞密院事。八月戊子，兼權參知政事。十二月戊寅，葉顒自資政殿學士、左中大夫提舉洞霄宮除知樞密院事。甲申，蔣芾自端明殿學士、簽書樞密院事兼權參知政事遷左中大夫，除參知政事。陳俊卿自左朝議大夫、試吏部尚書除同知樞密院事兼權參知政事。	四月乙未，汪澈罷樞密使，以觀文殿學士提舉臨安府洞霄宮。五月庚戌，葉顒罷參政，以資政殿學士提舉洞霄宮。八月丙戌，林安宅罷同知樞密院事。
1167	三年丁亥	葉顒 魏〈木巳〉	十一月癸酉，葉顒罷左僕射，提舉太平興國宮。魏〈木巳〉罷右僕射，提舉太平興國宮。	二月辛巳，虞允文自端明殿學士、提舉太平興國宮遷左太中大夫除知樞密院事。十一月癸酉，陳俊卿自同知樞密院事兼權參知政事除參知政事。 劉珙自翰林學士、知制誥除同知樞密院事。	　
1168	四年戊子	二月，蔣芾自參知政事除左正議大夫，守右僕射兼樞密使。十月庚子，陳俊卿自參知政事除左正議大夫、右僕射、同平章事兼樞密使。 蔣芾 陳俊卿	七月，蔣芾以母喪去位。	二月己巳，王炎自右朝奉大夫、試兵部侍郎、賜同進士出身除端明殿學士、簽書樞密院事。七月壬戌，劉珙自同知樞密院事兼參知政事。	八月辛亥，劉珙以知隆興府罷。
1169	五年己丑	八月己丑，陳俊卿自右僕射、同平章事兼樞密使。虞允文自樞密使除右僕射、同平章事兼樞密使。 陳俊卿 虞允文	　	二月甲寅，王炎自端明殿學士、簽書樞密院事兼權參知政事兼同知國用事、知樞密院事。梁克家自給事中除端明殿學士、簽書樞密院事。四月壬辰，兼參知政事。六月己酉，虞允文自資政殿大學士、知樞密院事、四川宣撫使召除樞密使。	　
1170	六年庚寅	陳俊卿 虞允文	五月，陳俊卿罷左僕射，除觀文殿大學士、知福州。	閏五月癸巳，梁克家自端明殿學士、簽書樞密院事除參知政事兼同知樞密院事、兼同知國用事。明年三月癸未，兼權知樞密院事。	　
1171	七年辛卯	虞允文 明年二月，改僕射官名為左右丞相。	　	三月己丑，張說自明州觀察使、知閤門事兼樞密副都承旨除簽書樞密院事。	　
1172	八年壬辰	二月辛亥，虞允文自右僕射除左丞相特進兼樞密使，封華國公。梁克家自參知政事除右丞相兼樞密使。 梁克家 虞允文	九月戊寅，虞允文罷左丞相，授少師、武安軍節度使，充四川宣撫使，封雍國公。	二月癸酉，王之奇自吏部侍郎、權尚書、賜同進士出身除端明殿學士、簽書樞密院事。丙寅，曾懷自戶部尚書、賜同進士出身除參知政事。	　
1173	九年癸巳	十月甲戌，曾懷自參知政事遷左宣奉大夫，除右丞相。 梁克家 曾懷	十月辛未，梁克家罷右丞相，以觀文殿大學士知建寧府。	正月乙亥，張說自安慶軍節度使、簽書樞密院事除同知樞密院事。沈復自戶部侍郎兼侍講除端明殿學士、簽書樞密院事。辛巳，鄭聞自權刑部尚書、兼侍讀除端明殿學士、簽書樞密院事。十月甲戌，簽左中大夫除參知政事。十月甲戌，張說自同知樞密院事除知樞密院事。沈復自端明殿學士、簽書樞密院事遷左中大夫、同知樞密院事。十二月己丑，姚憲自御史中丞、兼侍讀除端明殿學士、簽書樞密院事。	正月辛未，王之奇罷簽書，以資政殿學士知揚州、淮南安撫使。己丑，王炎罷樞密使，以觀文殿學士提舉臨安府洞霄宮。十二月甲子，沈復罷同知，以資政殿學士知荊南府。
1174	淳熙元年甲午	七月壬辰，曾懷自觀文殿大學士、提舉太平興國宮遷光祿大夫，除右丞相。十一月丙午，葉衡自兼樞密使、參知政事遷通奉大夫，除右丞相。 曾懷 葉衡	六月戊寅，曾懷罷右丞相，除觀文殿大學士、提舉太平興國宮。十一月丙午，曾懷罷右丞相，以觀文殿大學士提舉洞霄宮。	四月己卯，姚憲自端明殿學士、簽書樞密院事遷中大夫，除參知政事。葉衡自朝散大夫、戶部尚書除端明殿學士、簽書樞密院事。六月癸未，遷中大夫，除參知政事。十月，詔兼權知樞密院事。七月丁亥，鄭聞自資政殿學士、太中大夫、四川宣撫使除參知政事。乙未，楊倓自昭慶軍節度使、提舉佑神觀除簽書樞密院事。十一月戊戌，龔茂良自禮部侍郎兼權吏部尚書除參知政事。十二月丁巳，李彥穎自吏部尚書除端明殿學士簽書樞密院事。	三月丙申，鄭聞以資政殿大學士、四川宣撫使罷。六月癸未，姚憲罷參政，以端明殿學士領宮觀。七月乙未，張說罷知樞密院事，以太尉提舉隆興府玉隆觀，依前安慶軍節度使。十一月，楊倓罷簽書，以昭慶軍節度使知荊南府。
1175	二年乙未	葉衡	九月乙未，葉衡罷右相，依前中奉大夫、知建寧府。	五月，沈復自資政殿大學士、中大夫、四川宣撫使除同知樞密院事。閏九月丁巳，李彥穎自端明殿學士、簽書樞密院事除參知政事。王淮自翰林學士、知制誥除端明殿學士、簽書樞密院事。	閏九月丁未，沈復以知鎮江府罷。
1176	三年丙申	　	　	七月，王淮自端明殿學士、簽書樞密院事遷中大夫，除同知樞密院事。趙雄自朝散郎、試禮部尚書、兼侍讀、兼給事中除端明殿學士、簽書樞密院事。	　
1177	四年丁酉	　	　	五月，王淮自中大夫、同知樞密院事除參知政事。十一月庚子，趙雄自簽書樞密院事除同知樞密院事。	六月丁丑，龔茂良罷參政，以資政殿學士知鎮江府。
